      time        distance     velocity
      1.0147     1.622E+01     4.439E-03
    110.6927     3.526E+01     8.848E-05
    110.6927     3.526E+01     8.848E-05
      6.8122     2.491E+01     1.016E-03
    110.6927     3.526E+01     8.848E-05
      0.8516     1.907E+01     6.220E-03
      8.1366     2.647E+01     9.037E-04
      8.1653     2.507E+01     8.528E-04
      0.6838     1.508E+01     6.126E-03
      1.0307     1.851E+01     4.988E-03
      0.4443     1.106E+01     6.912E-03
      1.1778     1.640E+01     3.868E-03
    114.6232     2.242E+01     5.432E-05
      0.2110     1.077E+01     1.418E-02
    107.4789     3.372E+01     8.715E-05
    780.1205     3.204E+01     1.141E-05
      0.3472     1.209E+01     9.673E-03
      0.7108     1.628E+01     6.362E-03
      0.8058     1.513E+01     5.215E-03
      0.9980     1.819E+01     5.064E-03
      0.3361     1.314E+01     1.086E-02
      0.4457     1.094E+01     6.816E-03
      1.1555     1.786E+01     4.294E-03
      1.3433     2.006E+01     4.148E-03
      0.9778     1.810E+01     5.142E-03
      1.4926     1.416E+01     2.635E-03
      0.9300     1.631E+01     4.872E-03
      0.6520     1.473E+01     6.278E-03
      0.6520     1.473E+01     6.278E-03
      0.3342     1.214E+01     1.009E-02
      0.3669     1.166E+01     8.824E-03
      0.6538     1.572E+01     6.678E-03
      1.6233     1.684E+01     2.881E-03
      5.8587     2.252E+01     1.068E-03
      0.2494     1.166E+01     1.298E-02
      0.3018     1.277E+01     1.175E-02
      0.5081     1.403E+01     7.669E-03
      0.2723     1.222E+01     1.247E-02
      0.4457     1.094E+01     6.816E-03
      0.4388     1.396E+01     8.838E-03
      0.6425     1.607E+01     6.947E-03
     33.2270     2.775E+01     2.320E-04
     13.4722     2.136E+01     4.405E-04
      0.5945     1.585E+01     7.406E-03
      0.4877     1.372E+01     7.815E-03
     11.3259     2.085E+01     5.115E-04
      0.9877     1.817E+01     5.110E-03
      0.6119     1.406E+01     6.382E-03
      1.3013     1.889E+01     4.031E-03
      0.7124     1.238E+01     4.827E-03
      0.5569     1.346E+01     6.714E-03
      0.8756     1.735E+01     5.505E-03
      0.9168     1.773E+01     5.372E-03
      0.8339     1.588E+01     5.289E-03
      0.9300     1.631E+01     4.872E-03
      0.2932     1.273E+01     1.206E-02
      3.8756     1.837E+01     1.316E-03
     15.6607     2.458E+01     4.360E-04
      0.8704     1.644E+01     5.247E-03
    499.7707     4.346E+01     2.416E-05
      0.4817     1.427E+01     8.228E-03
      1.6970     1.955E+01     3.199E-03
      0.4497     1.432E+01     8.843E-03
      0.2755     1.114E+01     1.123E-02
      2.3460     1.880E+01     2.226E-03
     27.9308     3.899E+01     3.877E-04
      7.2586     1.989E+01     7.613E-04
     10.7057     2.097E+01     5.442E-04
      4.1951     1.513E+01     1.002E-03
      0.8735     1.735E+01     5.517E-03
     17.3792     2.229E+01     3.563E-04
