 cum_prob         time          distance       velocity
 1.856E-04       985.3321        94.0379       9.175E+01
 1.002E-02       183.5582        47.5356       7.896E+01
 1.986E-02        97.8863        43.8287       7.060E+01
 2.970E-02        56.1374        38.9250       6.075E+01
 3.953E-02        34.7109        35.3755       5.320E+01
 4.937E-02        22.7642        33.5014       4.959E+01
 5.921E-02        17.0658        32.0613       4.691E+01
 6.904E-02        12.6663        29.6901       4.508E+01
 7.888E-02        10.4116        27.3665       4.358E+01
 8.872E-02         8.9957        25.9523       4.214E+01
 9.855E-02         7.8769        24.8470       4.129E+01
 1.084E-01         6.8647        24.1738       4.039E+01
 1.182E-01         6.1520        23.4793       3.938E+01
 1.281E-01         5.5341        22.5362       3.885E+01
 1.379E-01         4.4236        21.8590       3.807E+01
 1.477E-01         3.7768        21.3128       3.729E+01
 1.576E-01         3.2081        20.8282       3.655E+01
 1.674E-01         2.7356        20.4226       3.579E+01
 1.772E-01         2.5522        19.9780       3.530E+01
 1.871E-01         2.3697        19.6227       3.475E+01
 1.969E-01         2.2368        19.2353       3.434E+01
 2.068E-01         2.1425        18.8641       3.390E+01
 2.166E-01         1.9772        18.4376       3.323E+01
 2.264E-01         1.8422        18.0803       3.281E+01
 2.363E-01         1.7384        17.8217       3.230E+01
 2.461E-01         1.6147        17.5343       3.189E+01
 2.559E-01         1.5283        17.3299       3.143E+01
 2.658E-01         1.4529        17.0784       3.093E+01
 2.756E-01         1.3856        16.8863       3.040E+01
 2.854E-01         1.3235        16.6889       2.991E+01
 2.953E-01         1.2634        16.5184       2.945E+01
 3.051E-01         1.2060        16.3750       2.898E+01
 3.150E-01         1.1787        16.2328       2.849E+01
 3.248E-01         1.1339        16.0752       2.811E+01
 3.346E-01         1.0947        15.9256       2.762E+01
 3.445E-01         1.0701        15.8064       2.705E+01
 3.543E-01         1.0334        15.7044       2.654E+01
 3.641E-01         1.0057        15.5425       2.615E+01
 3.740E-01         0.9830        15.4217       2.567E+01
 3.838E-01         0.9486        15.3073       2.501E+01
 3.937E-01         0.9189        15.2016       2.454E+01
 4.035E-01         0.8946        15.1096       2.403E+01
 4.133E-01         0.8727        15.0063       2.352E+01
 4.232E-01         0.8434        14.9080       2.305E+01
 4.330E-01         0.8175        14.8214       2.260E+01
 4.428E-01         0.7909        14.7204       2.215E+01
 4.527E-01         0.7634        14.6021       2.182E+01
 4.625E-01         0.7370        14.4790       2.141E+01
 4.723E-01         0.7141        14.4051       2.114E+01
 4.822E-01         0.6959        14.3029       2.092E+01
 4.920E-01         0.6745        14.2289       2.056E+01
 5.019E-01         0.6565        14.1119       2.025E+01
 5.117E-01         0.6416        14.0214       1.990E+01
 5.215E-01         0.6281        13.9382       1.962E+01
 5.314E-01         0.6132        13.8548       1.921E+01
 5.412E-01         0.5995        13.7469       1.898E+01
 5.510E-01         0.5905        13.6732       1.867E+01
 5.609E-01         0.5766        13.5665       1.833E+01
 5.707E-01         0.5634        13.4799       1.805E+01
 5.805E-01         0.5555        13.4092       1.775E+01
 5.904E-01         0.5485        13.3444       1.741E+01
 6.002E-01         0.5382        13.2625       1.701E+01
 6.101E-01         0.5273        13.2062       1.664E+01
 6.199E-01         0.5195        13.1365       1.624E+01
 6.297E-01         0.5101        13.0558       1.581E+01
 6.396E-01         0.5021        12.9823       1.533E+01
 6.494E-01         0.4934        12.9058       1.492E+01
 6.592E-01         0.4840        12.8308       1.447E+01
 6.691E-01         0.4749        12.7441       1.407E+01
 6.789E-01         0.4655        12.6549       1.369E+01
 6.888E-01         0.4567        12.5683       1.339E+01
 6.986E-01         0.4487        12.4610       1.299E+01
 7.084E-01         0.4424        12.3708       1.253E+01
 7.183E-01         0.4324        12.3080       1.207E+01
 7.281E-01         0.4226        12.2215       1.156E+01
 7.379E-01         0.4118        12.1220       1.104E+01
 7.478E-01         0.4015        12.0369       1.057E+01
 7.576E-01         0.3927        11.9449       1.011E+01
 7.674E-01         0.3847        11.8648       9.695E+00
 7.773E-01         0.3749        11.7729       9.187E+00
 7.871E-01         0.3654        11.6761       8.818E+00
 7.970E-01         0.3582        11.5718       8.385E+00
 8.068E-01         0.3513        11.4865       7.999E+00
 8.166E-01         0.3421        11.4034       7.338E+00
 8.265E-01         0.3342        11.3086       6.812E+00
 8.363E-01         0.3278        11.2239       6.389E+00
 8.461E-01         0.3197        11.1250       5.664E+00
 8.560E-01         0.3120        11.0570       4.930E+00
 8.658E-01         0.3045        10.9777       4.455E+00
 8.756E-01         0.2976        10.9109       3.959E+00
 8.855E-01         0.2921        10.8258       3.695E+00
 8.953E-01         0.2847        10.7502       3.399E+00
 9.052E-01         0.2756        10.6495       3.067E+00
 9.150E-01         0.2672        10.5530       2.734E+00
 9.248E-01         0.2574        10.4313       2.372E+00
 9.347E-01         0.2474        10.3380       1.767E+00
 9.445E-01         0.2382        10.2097       1.430E+00
 9.543E-01         0.2292        10.0815       1.020E+00
 9.642E-01         0.2184         9.9459       8.351E-01
 9.740E-01         0.2022         9.8116       5.802E-01
 9.839E-01         0.1815         9.6643       3.598E-01
 9.937E-01         0.1598         9.4095       1.253E-01
