 Q       5m     10m     15m     20m     25m     30m     35m     40m     45m
0.01    4.34    9.52   14.83   20.16   25.52   30.94   36.39   42.06   47.99
0.05    4.45   10.13   15.80   21.33   27.21   32.93   38.65   44.79   51.24
0.10    4.60   10.71   16.59   22.40   28.46   34.38   40.31   46.72   53.39
0.20    4.71   11.55   17.99   24.07   30.47   36.62   42.92   49.91   56.94
0.30    5.05   12.44   19.22   25.67   32.25   38.65   45.22   52.53   59.73
0.40    5.24   13.26   20.46   27.28   34.14   40.87   47.57   55.23   62.44
0.50    5.41   14.14   21.88   29.13   36.32   43.20   50.15   58.28   65.57
0.60    5.83   15.14   23.66   31.12   38.49   46.08   53.17   61.79   68.84
0.70    6.32   16.46   26.10   33.61   41.66   49.96   57.28   65.75   72.75
0.80    6.59   19.09   29.97   37.53   46.18   54.63   62.62   70.62   77.40
0.90    7.31   24.85   36.77   44.25   53.40   61.86   69.32   78.60   84.90
0.95    7.62   33.33   45.25   51.73   59.93   68.05   75.82   86.09   91.47
0.99   10.61   47.37   60.86   68.62   73.67   79.47   88.90  103.53  105.72
