 cum_prob         time          distance       velocity
 4.792E-05       999.2446       132.2805       1.574E+01
 1.001E-02       504.7478        88.9751       9.982E+00
 1.998E-02       315.1348        83.3216       8.981E+00
 2.995E-02       224.4944        80.1362       8.200E+00
 3.991E-02       182.6130        77.8965       7.674E+00
 4.988E-02       152.6415        75.8348       7.250E+00
 5.985E-02       129.2135        73.9519       6.917E+00
 6.981E-02       113.6827        72.5153       6.666E+00
 7.978E-02       100.5335        71.4145       6.444E+00
 8.975E-02        91.2098        70.3540       6.233E+00
 9.971E-02        81.9829        69.3534       6.014E+00
 1.097E-01        75.3371        68.4331       5.858E+00
 1.196E-01        69.0260        67.5130       5.712E+00
 1.296E-01        64.7154        66.7625       5.571E+00
 1.396E-01        60.0314        66.0988       5.442E+00
 1.495E-01        56.1991        65.4660       5.316E+00
 1.595E-01        53.0904        64.9029       5.218E+00
 1.695E-01        50.5187        64.2924       5.111E+00
 1.794E-01        48.3064        63.7259       5.005E+00
 1.894E-01        46.2383        63.1549       4.912E+00
 1.994E-01        44.1724        62.6327       4.821E+00
 2.093E-01        42.4893        62.1450       4.741E+00
 2.193E-01        41.0018        61.6616       4.661E+00
 2.293E-01        39.4876        61.1510       4.568E+00
 2.392E-01        38.0875        60.6124       4.491E+00
 2.492E-01        36.6773        60.0482       4.405E+00
 2.592E-01        35.2089        59.4276       4.330E+00
 2.691E-01        34.0501        58.8875       4.251E+00
 2.791E-01        32.9662        58.3840       4.173E+00
 2.891E-01        31.9061        57.8418       4.104E+00
 2.990E-01        30.8085        57.3259       4.022E+00
 3.090E-01        29.8788        56.8915       3.943E+00
 3.190E-01        29.0304        56.4598       3.866E+00
 3.289E-01        28.1864        56.0177       3.794E+00
 3.389E-01        27.4364        55.6062       3.720E+00
 3.489E-01        26.6293        55.1892       3.657E+00
 3.588E-01        26.0606        54.7356       3.586E+00
 3.688E-01        25.3865        54.3509       3.523E+00
 3.788E-01        24.7193        53.9487       3.468E+00
 3.887E-01        24.0718        53.6145       3.409E+00
 3.987E-01        23.4675        53.2201       3.350E+00
 4.087E-01        22.9374        52.9017       3.289E+00
 4.186E-01        22.4136        52.6190       3.228E+00
 4.286E-01        21.8351        52.3309       3.175E+00
 4.386E-01        21.3255        51.9848       3.121E+00
 4.485E-01        20.8144        51.6641       3.065E+00
 4.585E-01        20.2603        51.3482       3.006E+00
 4.685E-01        19.7713        51.0570       2.952E+00
 4.784E-01        19.3053        50.7726       2.901E+00
 4.884E-01        18.8384        50.4887       2.850E+00
 4.984E-01        18.3912        50.2142       2.797E+00
 5.083E-01        17.9626        49.9128       2.744E+00
 5.183E-01        17.4468        49.6287       2.686E+00
 5.283E-01        17.0853        49.3323       2.631E+00
 5.382E-01        16.6674        49.0778       2.583E+00
 5.482E-01        16.3374        48.8161       2.532E+00
 5.582E-01        15.9575        48.5674       2.482E+00
 5.681E-01        15.5934        48.3131       2.438E+00
 5.781E-01        15.2476        48.0898       2.395E+00
 5.881E-01        14.9269        47.8400       2.351E+00
 5.980E-01        14.5871        47.6099       2.311E+00
 6.080E-01        14.2779        47.3983       2.268E+00
 6.180E-01        13.9945        47.1615       2.224E+00
 6.279E-01        13.6933        46.9127       2.183E+00
 6.379E-01        13.4224        46.7158       2.146E+00
 6.479E-01        13.1279        46.4686       2.100E+00
 6.578E-01        12.8594        46.2281       2.055E+00
 6.678E-01        12.5877        45.9689       2.016E+00
 6.778E-01        12.2860        45.7772       1.967E+00
 6.877E-01        11.9681        45.5295       1.925E+00
 6.977E-01        11.6845        45.2707       1.882E+00
 7.077E-01        11.4008        45.0538       1.837E+00
 7.176E-01        11.1309        44.8225       1.790E+00
 7.276E-01        10.8793        44.6049       1.739E+00
 7.376E-01        10.6009        44.3833       1.694E+00
 7.475E-01        10.3745        44.1493       1.642E+00
 7.575E-01        10.1275        43.8943       1.598E+00
 7.675E-01         9.8716        43.6740       1.552E+00
 7.774E-01         9.6490        43.4403       1.506E+00
 7.874E-01         9.4118        43.2047       1.454E+00
 7.974E-01         9.1967        42.9818       1.402E+00
 8.073E-01         8.9559        42.7611       1.351E+00
 8.173E-01         8.7479        42.5241       1.298E+00
 8.273E-01         8.5306        42.2832       1.244E+00
 8.372E-01         8.3010        42.0588       1.191E+00
 8.472E-01         8.1051        41.8198       1.134E+00
 8.572E-01         7.9090        41.5632       1.072E+00
 8.671E-01         7.7039        41.2859       9.967E-01
 8.771E-01         7.4783        40.9910       9.372E-01
 8.871E-01         7.2768        40.7073       8.802E-01
 8.970E-01         7.0440        40.4026       8.168E-01
 9.070E-01         6.8255        40.1089       7.493E-01
 9.170E-01         6.5870        39.8050       6.786E-01
 9.269E-01         6.3453        39.4893       6.057E-01
 9.369E-01         6.0910        39.1201       5.394E-01
 9.469E-01         5.8008        38.7424       4.702E-01
 9.568E-01         5.5257        38.3533       3.939E-01
 9.668E-01         5.2037        37.9377       3.056E-01
 9.768E-01         4.8036        37.3658       2.386E-01
 9.867E-01         4.2935        36.7211       1.668E-01
 9.967E-01         3.4560        35.4933       8.470E-02
