 cum_prob         time          distance       velocity
 4.241E-05       991.6331       498.7867       1.902E+01
 1.001E-02       427.5348        79.5113       1.344E+01
 1.997E-02       278.5043        74.5741       1.208E+01
 2.994E-02       195.7298        71.7174       1.114E+01
 3.990E-02       154.6133        69.8794       1.029E+01
 4.987E-02       124.9683        68.0875       9.730E+00
 5.983E-02       102.8984        66.4952       9.255E+00
 6.980E-02        88.0478        65.1559       8.849E+00
 7.976E-02        77.0550        64.0101       8.490E+00
 8.973E-02        68.7297        62.9190       8.187E+00
 9.969E-02        62.7280        61.9019       7.915E+00
 1.097E-01        57.3680        60.9581       7.656E+00
 1.196E-01        52.2116        60.0368       7.474E+00
 1.296E-01        48.2452        59.2556       7.309E+00
 1.396E-01        44.6406        58.4226       7.131E+00
 1.495E-01        41.8861        57.8343       6.974E+00
 1.595E-01        39.7042        57.1901       6.811E+00
 1.695E-01        37.7775        56.5559       6.639E+00
 1.794E-01        35.7193        55.9569       6.499E+00
 1.894E-01        34.0319        55.3287       6.362E+00
 1.993E-01        32.3897        54.6810       6.226E+00
 2.093E-01        30.9188        54.1818       6.110E+00
 2.193E-01        29.5386        53.6259       5.997E+00
 2.292E-01        28.4985        53.0930       5.877E+00
 2.392E-01        27.3575        52.6546       5.767E+00
 2.492E-01        26.1346        52.2150       5.668E+00
 2.591E-01        25.0831        51.7713       5.561E+00
 2.691E-01        24.2019        51.3153       5.468E+00
 2.791E-01        23.3418        50.8720       5.372E+00
 2.890E-01        22.4604        50.4608       5.276E+00
 2.990E-01        21.6053        50.0061       5.175E+00
 3.090E-01        20.7443        49.5573       5.078E+00
 3.189E-01        19.9857        49.1463       4.992E+00
 3.289E-01        19.3716        48.6905       4.906E+00
 3.389E-01        18.7588        48.2686       4.825E+00
 3.488E-01        18.1725        47.8494       4.746E+00
 3.588E-01        17.6108        47.4730       4.670E+00
 3.688E-01        16.9925        47.1292       4.594E+00
 3.787E-01        16.4806        46.7630       4.511E+00
 3.887E-01        15.9520        46.4431       4.429E+00
 3.987E-01        15.4880        46.1229       4.358E+00
 4.086E-01        15.0345        45.7649       4.287E+00
 4.186E-01        14.5685        45.4797       4.221E+00
 4.285E-01        14.1691        45.1627       4.154E+00
 4.385E-01        13.8160        44.8929       4.077E+00
 4.485E-01        13.4736        44.6199       4.018E+00
 4.584E-01        13.0921        44.2958       3.953E+00
 4.684E-01        12.7527        44.0150       3.892E+00
 4.784E-01        12.4606        43.7657       3.832E+00
 4.883E-01        12.1916        43.4798       3.766E+00
 4.983E-01        11.9072        43.2414       3.696E+00
 5.083E-01        11.6353        42.9711       3.630E+00
 5.182E-01        11.3404        42.7466       3.564E+00
 5.282E-01        11.0698        42.5282       3.501E+00
 5.382E-01        10.8340        42.2745       3.437E+00
 5.481E-01        10.6069        42.0349       3.376E+00
 5.581E-01        10.3939        41.7958       3.307E+00
 5.681E-01        10.1960        41.5526       3.238E+00
 5.780E-01         9.9903        41.3333       3.164E+00
 5.880E-01         9.8069        41.1217       3.092E+00
 5.980E-01         9.6224        40.9223       3.025E+00
 6.079E-01         9.4213        40.6791       2.955E+00
 6.179E-01         9.2459        40.4537       2.884E+00
 6.279E-01         9.0578        40.2324       2.799E+00
 6.378E-01         8.8889        40.0019       2.733E+00
 6.478E-01         8.7022        39.7770       2.671E+00
 6.577E-01         8.5064        39.5368       2.609E+00
 6.677E-01         8.3326        39.3395       2.538E+00
 6.777E-01         8.1329        39.1250       2.471E+00
 6.876E-01         7.9380        38.8966       2.411E+00
 6.976E-01         7.7595        38.6966       2.342E+00
 7.076E-01         7.5745        38.5021       2.274E+00
 7.175E-01         7.3898        38.2881       2.206E+00
 7.275E-01         7.2065        38.1047       2.139E+00
 7.375E-01         7.0398        37.8921       2.065E+00
 7.474E-01         6.8618        37.6955       2.003E+00
 7.574E-01         6.6945        37.4785       1.939E+00
 7.674E-01         6.5059        37.2731       1.873E+00
 7.773E-01         6.3241        37.0621       1.800E+00
 7.873E-01         6.1510        36.8697       1.732E+00
 7.973E-01         6.0130        36.6770       1.653E+00
 8.072E-01         5.8657        36.4951       1.587E+00
 8.172E-01         5.7141        36.2840       1.519E+00
 8.272E-01         5.5624        36.0616       1.445E+00
 8.371E-01         5.4327        35.8549       1.372E+00
 8.471E-01         5.2837        35.6318       1.311E+00
 8.571E-01         5.1712        35.4035       1.238E+00
 8.670E-01         5.0325        35.1929       1.160E+00
 8.770E-01         4.9038        34.9663       1.106E+00
 8.869E-01         4.7549        34.7141       1.036E+00
 8.969E-01         4.6083        34.4668       9.569E-01
 9.069E-01         4.4715        34.2039       8.814E-01
 9.168E-01         4.3109        33.9368       8.014E-01
 9.268E-01         4.1166        33.6573       7.123E-01
 9.368E-01         3.9418        33.3580       6.219E-01
 9.467E-01         3.7650        33.0345       5.307E-01
 9.567E-01         3.5804        32.6651       4.450E-01
 9.667E-01         3.3145        32.2579       3.509E-01
 9.766E-01         3.0386        31.7406       2.588E-01
 9.866E-01         2.6893        31.1447       1.787E-01
 9.966E-01         2.3545        30.2924       9.039E-02
