      time        distance     velocity
     55.7104     6.826E+01     3.403E-04
     32.3778     5.977E+01     5.128E-04
     51.1862     6.858E+01     3.722E-04
     94.9546     7.930E+01     2.320E-04
     92.0761     7.998E+01     2.413E-04
     60.9096     7.783E+01     3.550E-04
     57.5692     6.833E+01     3.297E-04
     40.1860     6.109E+01     4.223E-04
     19.8572     5.580E+01     7.806E-04
     15.1080     5.689E+01     1.046E-03
     32.3583     6.995E+01     6.005E-04
     52.0044     6.433E+01     3.436E-04
     12.6709     5.507E+01     1.207E-03
     13.3789     5.366E+01     1.114E-03
     16.5535     5.276E+01     8.854E-04
     97.5219     7.333E+01     2.089E-04
    179.6410     8.788E+01     1.359E-04
     17.4025     5.427E+01     8.663E-04
     65.7707     7.635E+01     3.225E-04
     54.0524     6.771E+01     3.480E-04
     48.5470     7.096E+01     4.060E-04
     60.2986     8.037E+01     3.703E-04
     37.2880     6.012E+01     4.479E-04
     11.0845     4.948E+01     1.240E-03
     22.1204     6.091E+01     7.649E-04
     31.6023     5.827E+01     5.122E-04
     13.0449     5.512E+01     1.174E-03
    396.0193     5.747E+01     4.031E-05
     34.0969     5.918E+01     4.821E-04
     67.0441     7.061E+01     2.926E-04
     83.1421     7.240E+01     2.419E-04
    112.4594     7.236E+01     1.787E-04
     51.8644     6.329E+01     3.390E-04
     70.7065     6.683E+01     2.625E-04
     17.7965     5.335E+01     8.327E-04
     47.7300     6.952E+01     4.046E-04
     40.5419     6.760E+01     4.632E-04
    164.2611     7.664E+01     1.296E-04
     16.3729     5.552E+01     9.419E-04
     97.6547     8.778E+01     2.497E-04
     97.5206     8.831E+01     2.515E-04
     40.3156     7.227E+01     4.980E-04
     36.2591     6.349E+01     4.864E-04
     12.4373     5.734E+01     1.281E-03
     71.3259     6.402E+01     2.493E-04
     71.0513     7.014E+01     2.742E-04
     67.8884     7.988E+01     3.268E-04
     82.8635     6.876E+01     2.305E-04
     32.1334     5.502E+01     4.757E-04
     53.7036     6.404E+01     3.313E-04
     15.6656     5.942E+01     1.054E-03
     66.0907     6.512E+01     2.737E-04
     68.4076     7.622E+01     3.095E-04
     44.1143     7.061E+01     4.446E-04
    104.9415     8.816E+01     2.334E-04
     68.1717     7.809E+01     3.182E-04
     42.0916     6.727E+01     4.439E-04
     26.2564     5.886E+01     6.228E-04
     15.6693     5.109E+01     9.057E-04
    195.9793     9.599E+01     1.361E-04
     25.1971     6.249E+01     6.889E-04
     70.3363     8.547E+01     3.375E-04
     44.5309     6.357E+01     3.966E-04
      9.3389     4.895E+01     1.456E-03
     41.2210     6.760E+01     4.555E-04
     39.6614     7.319E+01     5.126E-04
    115.4336     6.920E+01     1.665E-04
     29.5136     5.591E+01     5.262E-04
     46.7654     7.550E+01     4.484E-04
     15.6365     5.159E+01     9.165E-04
     46.1771     6.374E+01     3.834E-04
     59.7817     7.945E+01     3.692E-04
     32.7567     5.779E+01     4.900E-04
     10.6363     5.385E+01     1.406E-03
     44.3656     6.857E+01     4.293E-04
     54.3040     6.428E+01     3.288E-04
     13.2247     5.333E+01     1.120E-03
     60.0660     7.868E+01     3.638E-04
     42.6049     6.187E+01     4.034E-04
     13.4252     5.147E+01     1.065E-03
     64.7486     6.784E+01     2.910E-04
     16.2438     5.482E+01     9.374E-04
     27.5170     5.795E+01     5.850E-04
     23.4669     5.880E+01     6.960E-04
     58.8444     8.373E+01     3.953E-04
    107.4207     7.793E+01     2.015E-04
     90.4030     6.664E+01     2.048E-04
     24.7174     5.695E+01     6.400E-04
     31.3687     5.831E+01     5.164E-04
     53.5540     7.638E+01     3.962E-04
     21.8034     6.846E+01     8.722E-04
     62.5218     6.262E+01     2.782E-04
     47.2502     5.944E+01     3.494E-04
    176.6835     9.552E+01     1.502E-04
     13.9890     5.197E+01     1.032E-03
     51.6575     6.552E+01     3.523E-04
     35.2605     5.355E+01     4.219E-04
     31.9444     6.426E+01     5.588E-04
     18.5856     5.382E+01     8.043E-04
     37.2443     5.767E+01     4.301E-04
     68.9385     7.995E+01     3.221E-04
     16.0136     5.083E+01     8.818E-04
    162.4727     7.890E+01     1.349E-04
     10.8176     5.344E+01     1.372E-03
     28.5601     5.930E+01     5.768E-04
    102.4191     9.270E+01     2.514E-04
    125.1773     7.587E+01     1.684E-04
     28.9232     6.393E+01     6.140E-04
     75.4908     7.728E+01     2.843E-04
    104.3754     7.029E+01     1.871E-04
     63.2275     8.133E+01     3.573E-04
     22.1713     5.407E+01     6.774E-04
     27.9266     5.738E+01     5.707E-04
     61.1305     7.313E+01     3.323E-04
     40.1893     7.275E+01     5.029E-04
     16.4180     5.566E+01     9.418E-04
     18.2327     5.531E+01     8.427E-04
      9.2043     4.834E+01     1.459E-03
     80.9643     7.024E+01     2.410E-04
     15.3702     5.078E+01     9.178E-04
     81.8621     6.896E+01     2.340E-04
     64.3445     6.600E+01     2.849E-04
     12.7601     5.514E+01     1.200E-03
     17.7023     5.769E+01     9.053E-04
     19.8585     5.478E+01     7.663E-04
     19.4235     5.198E+01     7.434E-04
     90.7043     8.339E+01     2.554E-04
     58.6710     6.520E+01     3.087E-04
     16.2711     5.515E+01     9.416E-04
     33.0199     5.393E+01     4.537E-04
     50.4968     6.086E+01     3.348E-04
     57.8033     7.766E+01     3.732E-04
     55.9115     6.771E+01     3.364E-04
     87.6819     7.802E+01     2.472E-04
     70.1829     8.115E+01     3.212E-04
     21.3783     5.739E+01     7.456E-04
     20.3847     6.190E+01     8.434E-04
     26.6317     6.009E+01     6.268E-04
     51.7240     7.627E+01     4.096E-04
     38.3825     5.749E+01     4.160E-04
     40.3895     6.260E+01     4.306E-04
     39.9310     5.850E+01     4.069E-04
     16.5711     5.157E+01     8.644E-04
     48.0576     6.252E+01     3.614E-04
    111.3153     7.339E+01     1.831E-04
    158.1344     8.070E+01     1.418E-04
     38.0622     7.212E+01     5.263E-04
    111.7727     7.382E+01     1.835E-04
     51.4470     6.072E+01     3.279E-04
     17.3138     5.332E+01     8.554E-04
     51.1136     6.558E+01     3.564E-04
     24.1206     5.981E+01     6.888E-04
    105.4986     7.648E+01     2.014E-04
     15.7443     5.989E+01     1.057E-03
     86.4169     8.153E+01     2.621E-04
    191.2400     1.030E+02     1.497E-04
     31.2582     5.860E+01     5.208E-04
     12.9525     5.391E+01     1.156E-03
    233.9386     9.580E+01     1.138E-04
     39.6464     5.995E+01     4.201E-04
     31.9410     5.578E+01     4.851E-04
     16.2206     5.531E+01     9.472E-04
     49.9582     7.835E+01     4.357E-04
     24.4998     5.636E+01     6.390E-04
     47.9556     6.514E+01     3.773E-04
     21.2780     5.492E+01     7.170E-04
    167.1572     7.538E+01     1.253E-04
     26.7646     5.277E+01     5.476E-04
     29.4209     6.332E+01     5.979E-04
    153.5651     9.253E+01     1.674E-04
     20.9067     5.668E+01     7.531E-04
     24.8761     5.645E+01     6.303E-04
     20.4547     5.401E+01     7.334E-04
     15.2850     5.860E+01     1.065E-03
     35.1079     5.954E+01     4.711E-04
     52.4371     6.425E+01     3.404E-04
     86.2363     7.186E+01     2.315E-04
     58.2424     7.852E+01     3.745E-04
     52.7080     6.039E+01     3.183E-04
     58.9308     7.399E+01     3.488E-04
     84.4582     7.487E+01     2.462E-04
     51.7208     6.546E+01     3.516E-04
     27.3581     6.151E+01     6.245E-04
    141.7545     8.447E+01     1.655E-04
     31.8366     6.056E+01     5.284E-04
     86.5435     8.549E+01     2.744E-04
     16.7494     5.328E+01     8.837E-04
     17.5074     5.748E+01     9.120E-04
     63.8899     7.301E+01     3.174E-04
     11.3263     5.410E+01     1.327E-03
     66.8992     7.292E+01     3.028E-04
     87.1079     7.225E+01     2.304E-04
    106.7577     8.140E+01     2.118E-04
     29.7663     5.653E+01     5.275E-04
    111.2177     8.040E+01     2.008E-04
     17.6875     5.350E+01     8.402E-04
    103.5142     8.366E+01     2.245E-04
    111.5589     7.424E+01     1.849E-04
     55.6905     6.668E+01     3.326E-04
    121.8968     7.176E+01     1.635E-04
     61.0665     7.541E+01     3.430E-04
     35.8732     5.717E+01     4.427E-04
     32.2078     5.772E+01     4.978E-04
     92.2158     6.913E+01     2.082E-04
     40.6807     5.843E+01     3.990E-04
     32.8940     6.508E+01     5.496E-04
     49.9201     6.581E+01     3.662E-04
     52.3927     6.606E+01     3.502E-04
     19.1453     5.422E+01     7.867E-04
     59.4736     6.565E+01     3.066E-04
     89.9109     6.786E+01     2.097E-04
     44.7120     6.213E+01     3.860E-04
     62.0602     8.436E+01     3.776E-04
     48.7794     6.109E+01     3.479E-04
     43.7220     6.040E+01     3.837E-04
     31.9521     6.019E+01     5.233E-04
     37.2504     5.894E+01     4.395E-04
     21.9672     6.175E+01     7.808E-04
     50.9819     6.345E+01     3.457E-04
     37.7234     5.870E+01     4.323E-04
    103.6660     7.222E+01     1.935E-04
     35.8338     5.899E+01     4.573E-04
     34.7488     5.797E+01     4.634E-04
     15.2109     5.396E+01     9.855E-04
     44.8204     6.726E+01     4.169E-04
     17.3194     5.624E+01     9.020E-04
     13.8324     5.502E+01     1.105E-03
     30.6607     6.465E+01     5.857E-04
     48.2629     7.108E+01     4.091E-04
     57.3329     7.247E+01     3.511E-04
     28.3440     5.997E+01     5.877E-04
     84.4940     8.490E+01     2.791E-04
     11.2624     5.433E+01     1.340E-03
     58.3273     7.193E+01     3.426E-04
    208.4416     7.845E+01     1.045E-04
     27.2329     5.775E+01     5.891E-04
     57.5495     7.617E+01     3.676E-04
    100.8222     9.170E+01     2.526E-04
     56.8991     6.626E+01     3.235E-04
     54.6946     6.284E+01     3.191E-04
     32.6211     5.990E+01     5.100E-04
     17.4928     5.616E+01     8.918E-04
     74.3293     8.029E+01     3.000E-04
     21.5595     6.129E+01     7.897E-04
     29.3058     7.657E+01     7.257E-04
     28.0237     5.964E+01     5.911E-04
     34.7659     6.068E+01     4.848E-04
     44.0317     6.822E+01     4.304E-04
    268.0728     7.230E+01     7.492E-05
     17.2762     4.981E+01     8.009E-04
     21.4365     5.878E+01     7.617E-04
     22.8748     5.893E+01     7.156E-04
     50.0233     7.124E+01     3.956E-04
     25.4543     6.004E+01     6.552E-04
     22.3752     5.464E+01     6.784E-04
    261.4548     7.004E+01     7.441E-05
     62.4938     7.526E+01     3.345E-04
     41.8165     6.954E+01     4.619E-04
     48.0029     7.923E+01     4.585E-04
     42.7572     6.991E+01     4.542E-04
     38.4057     6.610E+01     4.781E-04
     77.1582     7.564E+01     2.723E-04
     83.1611     7.416E+01     2.477E-04
     95.5129     7.464E+01     2.171E-04
     28.5558     6.010E+01     5.846E-04
     33.3060     6.245E+01     5.209E-04
     23.7095     6.386E+01     7.481E-04
     66.2268     7.580E+01     3.179E-04
     26.2586     6.375E+01     6.744E-04
    526.3637     7.422E+01     3.917E-05
     38.0873     6.787E+01     4.950E-04
    112.3729     9.079E+01     2.244E-04
     29.3347     6.252E+01     5.920E-04
     45.4448     6.864E+01     4.195E-04
     53.0984     7.471E+01     3.908E-04
     21.5607     5.285E+01     6.809E-04
     11.6709     5.137E+01     1.223E-03
     32.9005     6.442E+01     5.439E-04
     70.2013     6.839E+01     2.706E-04
