      time        distance     velocity
      0.0607     5.878E+00     2.691E-02
      0.4850     5.241E+00     3.002E-03
      0.1964     9.511E+00     1.345E-02
      0.0816     6.986E+00     2.378E-02
      2.8724     7.573E+00     7.324E-04
      1.3993     5.166E+00     1.025E-03
      0.0610     5.958E+00     2.711E-02
      0.0859     6.704E+00     2.169E-02
      0.0696     6.440E+00     2.568E-02
      4.0402     6.548E+00     4.502E-04
      0.0759     6.241E+00     2.284E-02
      0.0789     7.133E+00     2.511E-02
      0.2346     6.707E+00     7.943E-03
      0.1654     8.965E+00     1.505E-02
      0.0640     6.566E+00     2.851E-02
    469.9962     2.275E+01     1.345E-05
      3.7875     7.001E+00     5.134E-04
      0.0915     7.492E+00     2.275E-02
      3.8798     7.626E+00     5.460E-04
      3.9819     8.648E+00     6.033E-04
      0.0929     7.276E+00     2.175E-02
      0.0590     5.966E+00     2.811E-02
    469.7451     2.213E+01     1.309E-05
      4.0870     1.075E+01     7.307E-04
      0.1020     6.976E+00     1.900E-02
      3.8798     7.626E+00     5.460E-04
      3.7875     7.001E+00     5.134E-04
    468.3927     1.963E+01     1.164E-05
      0.0939     7.005E+00     2.071E-02
      0.2534     5.755E+00     6.308E-03
      0.4785     5.713E+00     3.317E-03
      1.0098     5.290E+00     1.455E-03
      0.0939     7.005E+00     2.071E-02
      0.1376     8.464E+00     1.709E-02
    469.4929     2.150E+01     1.272E-05
      4.0870     1.075E+01     7.307E-04
      0.0550     6.044E+00     3.054E-02
      0.0615     5.727E+00     2.585E-02
      2.8690     7.798E+00     7.550E-04
      3.8798     7.626E+00     5.460E-04
      6.3347     6.138E+00     2.691E-04
      0.0742     6.306E+00     2.360E-02
      4.0391     9.501E+00     6.534E-04
      0.1121     7.382E+00     1.829E-02
      0.2277     4.807E+00     5.864E-03
      0.1213     7.788E+00     1.783E-02
      3.8798     7.626E+00     5.460E-04
      0.0681     5.735E+00     2.339E-02
      3.9819     8.648E+00     6.033E-04
      0.5289     1.155E+01     6.066E-03
      0.1651     4.076E+00     6.858E-03
     61.1471     6.493E+00     2.950E-05
      1.0045     5.103E+00     1.411E-03
      0.3496     1.078E+01     8.561E-03
      0.0759     6.201E+00     2.268E-02
      0.1148     5.978E+00     1.446E-02
      0.0607     5.878E+00     2.691E-02
      3.9445     8.251E+00     5.810E-04
      4.0391     9.501E+00     6.534E-04
      0.5535     4.700E+00     2.359E-03
    465.1548     1.775E+01     1.060E-05
      0.6346     5.388E+00     2.359E-03
    468.8726     2.025E+01     1.200E-05
    469.9962     2.275E+01     1.345E-05
      0.1520     8.922E+00     1.631E-02
      0.0616     6.108E+00     2.753E-02
      2.7381     8.129E+00     8.247E-04
      1.3687     6.782E+00     1.376E-03
      0.1376     8.464E+00     1.709E-02
      0.0671     6.368E+00     2.636E-02
      0.4653     1.061E+01     6.334E-03
      0.0709     6.492E+00     2.545E-02
      0.5535     4.700E+00     2.359E-03
