      time        distance     velocity
      0.1365     7.038E+00     1.433E-02
      0.5240     6.996E+00     3.709E-03
      1.1806     5.168E+00     1.216E-03
      1.4188     7.043E+00     1.379E-03
      1.1806     5.168E+00     1.216E-03
      1.3050     5.793E+00     1.233E-03
      0.1241     6.303E+00     1.411E-02
      0.4587     5.004E+00     3.030E-03
      0.4587     5.004E+00     3.030E-03
      0.1304     5.490E+00     1.169E-02
      0.1606     6.598E+00     1.141E-02
      0.1321     6.613E+00     1.391E-02
      0.1339     6.689E+00     1.387E-02
      0.2197     6.579E+00     8.316E-03
      0.4593     5.004E+00     3.026E-03
     10.4338     7.189E+00     1.914E-04
      0.2269     6.736E+00     8.246E-03
      0.1792     8.388E+00     1.300E-02
      8.1375     7.227E+00     2.467E-04
      0.1316     6.700E+00     1.415E-02
      0.9266     7.467E+00     2.238E-03
      0.2844     4.761E+00     4.651E-03
      0.0920     6.381E+00     1.927E-02
      0.2028     1.076E+01     1.474E-02
      0.0528     4.948E+00     2.602E-02
      0.1533     6.025E+00     1.091E-02
      0.1099     6.392E+00     1.615E-02
      1.3050     5.793E+00     1.233E-03
      0.0563     6.626E+00     3.270E-02
      0.4593     5.004E+00     3.026E-03
      0.4344     1.218E+01     7.788E-03
      1.3759     6.418E+00     1.296E-03
      0.3803     1.034E+01     7.550E-03
      0.6563     5.455E+00     2.309E-03
      0.4344     1.218E+01     7.788E-03
      0.6487     5.211E+00     2.231E-03
      0.2263     4.732E+00     5.809E-03
      0.2484     1.044E+01     1.168E-02
      0.1672     6.592E+00     1.096E-02
      0.1408     6.580E+00     1.298E-02
      0.1876     6.702E+00     9.925E-03
      0.2438     9.914E+00     1.130E-02
      1.9563     6.670E+00     9.471E-04
      0.0904     7.343E+00     2.258E-02
      0.0934     9.532E+00     2.836E-02
      0.1853     8.915E+00     1.336E-02
      0.1331     6.565E+00     1.370E-02
      0.1192     7.478E+00     1.742E-02
      0.1715     7.370E+00     1.193E-02
      0.1135     6.767E+00     1.656E-02
      1.1806     5.168E+00     1.216E-03
      0.1854     6.529E+00     9.781E-03
      1.4478     7.668E+00     1.471E-03
      0.2877     1.101E+01     1.063E-02
      0.1904     1.151E+01     1.679E-02
      0.5242     1.312E+01     6.951E-03
      0.4587     5.004E+00     3.030E-03
      0.1384     6.101E+00     1.224E-02
      0.3752     1.071E+01     7.931E-03
