 cum_prob         time          distance       velocity
 6.795E-05      4589.6245       168.1217       1.066E+02
 1.006E-02      1177.3014       123.4336       6.028E+01
 2.004E-02       667.5826       110.3734       4.755E+01
 3.003E-02       355.2632       102.6076       3.986E+01
 4.002E-02       266.0010        96.4807       3.381E+01
 5.001E-02       195.8384        88.8872       3.065E+01
 6.000E-02       155.8679        79.7224       2.864E+01
 6.999E-02       127.2407        74.0677       2.720E+01
 7.998E-02       107.1133        70.1339       2.594E+01
 8.996E-02        88.9892        66.7497       2.494E+01
 9.995E-02        76.4194        63.2251       2.395E+01
 1.099E-01        65.3425        59.7646       2.312E+01
 1.199E-01        54.0005        57.1692       2.239E+01
 1.299E-01        46.0632        55.4490       2.171E+01
 1.399E-01        39.0753        53.8027       2.105E+01
 1.499E-01        34.0787        52.5816       2.039E+01
 1.599E-01        29.7304        51.6476       1.992E+01
 1.699E-01        26.3289        50.7014       1.953E+01
 1.799E-01        22.7093        49.9191       1.917E+01
 1.898E-01        20.6271        49.1178       1.887E+01
 1.998E-01        18.7575        48.4770       1.856E+01
 2.098E-01        17.1940        47.8935       1.829E+01
 2.198E-01        15.8347        47.2550       1.801E+01
 2.298E-01        14.6599        46.5933       1.777E+01
 2.398E-01        13.8077        45.9620       1.749E+01
 2.498E-01        12.9413        45.3471       1.723E+01
 2.598E-01        12.1147        44.7381       1.693E+01
 2.698E-01        11.3119        44.1599       1.670E+01
 2.797E-01        10.5804        43.7167       1.646E+01
 2.897E-01         9.8392        43.1833       1.620E+01
 2.997E-01         9.2760        42.7152       1.593E+01
 3.097E-01         8.8168        42.2688       1.559E+01
 3.197E-01         8.3363        41.8562       1.526E+01
 3.297E-01         7.8520        41.4047       1.490E+01
 3.397E-01         7.4413        41.0022       1.456E+01
 3.497E-01         7.0468        40.6016       1.425E+01
 3.597E-01         6.6607        40.2048       1.393E+01
 3.696E-01         6.2961        39.7679       1.357E+01
 3.796E-01         6.0135        39.3404       1.327E+01
 3.896E-01         5.7598        38.9181       1.290E+01
 3.996E-01         5.5234        38.4713       1.255E+01
 4.096E-01         5.2857        38.0512       1.222E+01
 4.196E-01         5.0769        37.6475       1.191E+01
 4.296E-01         4.8896        37.2453       1.157E+01
 4.396E-01         4.6870        36.8385       1.127E+01
 4.495E-01         4.5016        36.4724       1.097E+01
 4.595E-01         4.3129        36.1074       1.070E+01
 4.695E-01         4.1458        35.7223       1.040E+01
 4.795E-01         3.9731        35.3828       1.013E+01
 4.895E-01         3.8033        35.0215       9.886E+00
 4.995E-01         3.6732        34.6266       9.633E+00
 5.095E-01         3.5193        34.2214       9.358E+00
 5.195E-01         3.3915        33.8922       9.105E+00
 5.295E-01         3.2679        33.5576       8.814E+00
 5.394E-01         3.1620        33.2147       8.571E+00
 5.494E-01         3.0455        32.9027       8.281E+00
 5.594E-01         2.9533        32.5563       8.039E+00
 5.694E-01         2.8484        32.2284       7.803E+00
 5.794E-01         2.7677        31.9657       7.612E+00
 5.894E-01         2.6790        31.6659       7.364E+00
 5.994E-01         2.5893        31.3880       7.103E+00
 6.094E-01         2.4981        31.1517       6.852E+00
 6.194E-01         2.4023        30.8689       6.612E+00
 6.293E-01         2.3171        30.6313       6.382E+00
 6.393E-01         2.2360        30.3717       6.084E+00
 6.493E-01         2.1608        30.1395       5.822E+00
 6.593E-01         2.1086        29.8788       5.558E+00
 6.693E-01         2.0464        29.6778       5.343E+00
 6.793E-01         1.9929        29.4243       5.106E+00
 6.893E-01         1.9423        29.2059       4.853E+00
 6.993E-01         1.8870        28.9715       4.635E+00
 7.092E-01         1.8358        28.7447       4.360E+00
 7.192E-01         1.7881        28.5050       4.170E+00
 7.292E-01         1.7386        28.2422       3.963E+00
 7.392E-01         1.6903        27.9672       3.749E+00
 7.492E-01         1.6470        27.7378       3.579E+00
 7.592E-01         1.6023        27.5149       3.423E+00
 7.692E-01         1.5670        27.2478       3.223E+00
 7.792E-01         1.5302        26.9443       3.026E+00
 7.892E-01         1.5025        26.6072       2.805E+00
 7.991E-01         1.4663        26.3325       2.607E+00
 8.091E-01         1.4337        26.0284       2.364E+00
 8.191E-01         1.3971        25.7520       2.158E+00
 8.291E-01         1.3536        25.4641       1.951E+00
 8.391E-01         1.3190        25.1139       1.744E+00
 8.491E-01         1.2842        24.8414       1.565E+00
 8.591E-01         1.2456        24.5538       1.402E+00
 8.691E-01         1.2124        24.2856       1.244E+00
 8.791E-01         1.1804        24.0237       1.098E+00
 8.890E-01         1.1527        23.6632       9.782E-01
 8.990E-01         1.1198        23.3324       8.636E-01
 9.090E-01         1.0785        23.0305       7.648E-01
 9.190E-01         1.0353        22.7712       6.751E-01
 9.290E-01         0.9809        22.5043       5.665E-01
 9.390E-01         0.9185        22.2361       4.420E-01
 9.490E-01         0.8550        21.9275       3.437E-01
 9.590E-01         0.7948        21.6918       2.387E-01
 9.689E-01         0.7030        21.4025       1.477E-01
 9.789E-01         0.5880        21.0313       1.016E-01
 9.889E-01         0.4512        20.5805       4.400E-02
 9.989E-01         0.3067        19.4966       8.943E-03
