      time        distance     velocity
     10.3186     5.011E+01     1.349E-03
     54.8266     6.598E+01     3.343E-04
      9.4282     5.404E+01     1.592E-03
      9.8948     4.970E+01     1.395E-03
     27.5600     7.832E+01     7.894E-04
      6.8260     4.500E+01     1.831E-03
      5.6610     4.066E+01     1.995E-03
      5.1506     4.493E+01     2.423E-03
      4.6219     4.378E+01     2.631E-03
      3.8694     4.194E+01     3.011E-03
     27.9450     9.476E+01     9.420E-04
      9.9908     5.452E+01     1.516E-03
     22.4874     5.698E+01     7.039E-04
      5.9310     4.616E+01     2.162E-03
      5.3292     5.092E+01     2.654E-03
     12.6599     5.707E+01     1.252E-03
      5.0293     4.429E+01     2.446E-03
     19.3155     5.498E+01     7.907E-04
      8.5474     5.679E+01     1.845E-03
     31.2204     5.734E+01     5.101E-04
     12.1363     5.987E+01     1.370E-03
     29.9769     6.205E+01     5.750E-04
      5.5580     4.729E+01     2.364E-03
      5.1226     4.975E+01     2.698E-03
      7.7022     4.460E+01     1.609E-03
      4.8649     4.762E+01     2.719E-03
      4.8867     4.624E+01     2.628E-03
      5.4379     4.728E+01     2.415E-03
    162.7741     5.162E+01     8.808E-05
     14.1496     5.793E+01     1.137E-03
      6.6817     4.671E+01     1.942E-03
     29.1224     6.188E+01     5.903E-04
     47.2631     7.249E+01     4.261E-04
      9.9138     5.557E+01     1.557E-03
     16.1820     6.228E+01     1.069E-03
     10.1412     5.792E+01     1.586E-03
      4.8031     4.187E+01     2.421E-03
      4.3260     3.989E+01     2.561E-03
     68.5853     1.011E+02     4.094E-04
     26.4845     5.546E+01     5.817E-04
     38.2323     7.116E+01     5.170E-04
      8.2062     5.516E+01     1.867E-03
     56.9885     7.757E+01     3.781E-04
      8.8091     5.759E+01     1.816E-03
     18.7532     6.295E+01     9.324E-04
      7.4558     4.487E+01     1.672E-03
     13.4997     5.201E+01     1.070E-03
     36.9813     1.045E+02     7.850E-04
    111.9097     5.021E+01     1.246E-04
      8.4061     5.650E+01     1.867E-03
     58.5693     4.558E+01     2.162E-04
