 cum_prob         time          distance       velocity
 2.662E-04      4135.8188       123.0068       2.047E+02
 1.012E-02       532.7781       108.9483       1.473E+02
 1.997E-02       179.3423       104.0452       1.193E+02
 2.982E-02       104.2388        97.5236       1.004E+02
 3.967E-02        89.5041        80.1859       9.350E+01
 4.952E-02        74.0334        67.1337       8.559E+01
 5.937E-02        61.5676        51.2346       7.333E+01
 6.922E-02        50.3753        47.5912       6.654E+01
 7.907E-02        44.2100        44.3795       6.116E+01
 8.892E-02        34.3895        40.0698       5.612E+01
 9.878E-02        22.8982        36.1111       5.256E+01
 1.086E-01        19.7740        33.3680       4.945E+01
 1.185E-01        16.5315        31.5542       4.725E+01
 1.283E-01        13.1576        29.8807       4.552E+01
 1.382E-01        10.9647        28.9141       4.404E+01
 1.480E-01         9.4498        27.9961       4.262E+01
 1.579E-01         8.0992        27.0763       4.147E+01
 1.677E-01         6.4648        26.4551       4.071E+01
 1.776E-01         5.1692        25.9391       3.995E+01
 1.874E-01         4.4069        25.4759       3.946E+01
 1.973E-01         3.8215        24.9864       3.885E+01
 2.071E-01         3.4354        24.5700       3.831E+01
 2.170E-01         3.1559        24.0585       3.801E+01
 2.268E-01         2.9268        23.6147       3.751E+01
 2.367E-01         2.5898        23.3453       3.715E+01
 2.465E-01         2.2852        23.0228       3.685E+01
 2.564E-01         2.0886        22.6213       3.639E+01
 2.662E-01         1.9096        22.3797       3.601E+01
 2.761E-01         1.8050        22.1398       3.565E+01
 2.859E-01         1.6862        21.8265       3.525E+01
 2.958E-01         1.5958        21.5703       3.477E+01
 3.056E-01         1.5106        21.3562       3.432E+01
 3.155E-01         1.4082        21.0741       3.397E+01
 3.253E-01         1.3241        20.8023       3.350E+01
 3.352E-01         1.2791        20.5418       3.306E+01
 3.450E-01         1.2272        20.2601       3.261E+01
 3.549E-01         1.1846        20.0113       3.192E+01
 3.647E-01         1.1405        19.7642       3.158E+01
 3.746E-01         1.1142        19.5307       3.096E+01
 3.845E-01         1.0831        19.2396       3.018E+01
 3.943E-01         1.0510        18.9677       2.982E+01
 4.042E-01         1.0292        18.7488       2.902E+01
 4.140E-01         1.0065        18.5101       2.834E+01
 4.239E-01         0.9817        18.3153       2.771E+01
 4.337E-01         0.9528        18.0313       2.707E+01
 4.436E-01         0.9281        17.7884       2.649E+01
 4.534E-01         0.8966        17.4235       2.580E+01
 4.633E-01         0.8651        17.2061       2.534E+01
 4.731E-01         0.8320        16.9232       2.468E+01
 4.830E-01         0.7959        16.6931       2.428E+01
 4.928E-01         0.7751        16.4951       2.354E+01
 5.027E-01         0.7428        16.2874       2.312E+01
 5.125E-01         0.7177        16.1473       2.260E+01
 5.224E-01         0.6875        15.9771       2.227E+01
 5.322E-01         0.6647        15.8194       2.187E+01
 5.421E-01         0.6389        15.6938       2.152E+01
 5.519E-01         0.6085        15.4893       2.104E+01
 5.618E-01         0.5921        15.3505       2.083E+01
 5.716E-01         0.5607        15.1809       2.045E+01
 5.815E-01         0.5467        14.9685       1.998E+01
 5.913E-01         0.5253        14.8111       1.950E+01
 6.012E-01         0.5088        14.6804       1.908E+01
 6.110E-01         0.4920        14.5673       1.846E+01
 6.209E-01         0.4781        14.4610       1.794E+01
 6.307E-01         0.4527        14.3141       1.738E+01
 6.406E-01         0.4385        14.1760       1.666E+01
 6.504E-01         0.4287        14.0192       1.600E+01
 6.603E-01         0.4158        13.8685       1.555E+01
 6.701E-01         0.4064        13.6636       1.517E+01
 6.800E-01         0.3957        13.5050       1.456E+01
 6.898E-01         0.3858        13.3629       1.389E+01
 6.997E-01         0.3782        13.2371       1.335E+01
 7.095E-01         0.3693        13.1117       1.271E+01
 7.194E-01         0.3605        12.9836       1.197E+01
 7.292E-01         0.3542        12.8797       1.115E+01
 7.391E-01         0.3486        12.7641       1.048E+01
 7.489E-01         0.3426        12.6435       9.681E+00
 7.588E-01         0.3351        12.5399       8.773E+00
 7.686E-01         0.3289        12.4391       8.025E+00
 7.785E-01         0.3235        12.3513       7.343E+00
 7.883E-01         0.3178        12.2524       6.641E+00
 7.982E-01         0.3126        12.1407       6.049E+00
 8.080E-01         0.3065        12.0434       5.566E+00
 8.179E-01         0.3003        11.9832       4.650E+00
 8.277E-01         0.2970        11.8819       4.128E+00
 8.376E-01         0.2899        11.7714       3.621E+00
 8.474E-01         0.2833        11.6663       3.111E+00
 8.573E-01         0.2777        11.5376       2.524E+00
 8.671E-01         0.2711        11.4525       2.265E+00
 8.770E-01         0.2664        11.3680       1.982E+00
 8.868E-01         0.2594        11.2712       1.762E+00
 8.967E-01         0.2531        11.1713       1.645E+00
 9.065E-01         0.2431        11.0873       1.534E+00
 9.164E-01         0.2312        10.9860       1.424E+00
 9.263E-01         0.2178        10.8864       1.323E+00
 9.361E-01         0.2014        10.7413       1.151E+00
 9.460E-01         0.1816        10.6475       1.001E+00
 9.558E-01         0.1612        10.5163       7.590E-01
 9.657E-01         0.1462        10.3774       4.513E-01
 9.755E-01         0.1302        10.2197       2.668E-01
 9.854E-01         0.1088         9.9824       1.515E-01
 9.952E-01         0.0828         9.5634       3.264E-02
