 cum_prob         time          distance       velocity
 4.618E-05      4981.2222       168.1695       8.355E+01
 1.002E-02      1224.0447       133.8813       3.899E+01
 2.000E-02       541.6251       119.2943       3.131E+01
 2.997E-02       330.7341       108.7111       2.665E+01
 3.995E-02       239.7024       101.5711       2.423E+01
 4.992E-02       185.7988        95.9573       2.232E+01
 5.990E-02       151.4367        91.6659       2.105E+01
 6.987E-02       125.4533        87.7722       2.013E+01
 7.985E-02       108.1523        83.8486       1.924E+01
 8.982E-02        90.5667        80.8833       1.848E+01
 9.980E-02        79.6892        78.0295       1.784E+01
 1.098E-01        67.8007        75.3759       1.726E+01
 1.197E-01        58.1273        72.6033       1.664E+01
 1.297E-01        51.1935        69.9204       1.604E+01
 1.397E-01        44.2149        67.3543       1.558E+01
 1.497E-01        39.6928        65.4990       1.509E+01
 1.596E-01        36.0581        63.9195       1.466E+01
 1.696E-01        33.0651        62.7025       1.432E+01
 1.796E-01        30.4867        61.5574       1.403E+01
 1.896E-01        28.1039        60.5269       1.376E+01
 1.995E-01        25.8871        59.5775       1.353E+01
 2.095E-01        24.1552        58.5831       1.333E+01
 2.195E-01        22.4546        57.6010       1.312E+01
 2.295E-01        20.8201        56.7221       1.291E+01
 2.394E-01        19.4311        55.9627       1.273E+01
 2.494E-01        17.8679        55.1783       1.254E+01
 2.594E-01        16.4868        54.4703       1.235E+01
 2.694E-01        15.2752        53.7932       1.214E+01
 2.793E-01        14.1389        53.0775       1.194E+01
 2.893E-01        13.2554        52.4267       1.174E+01
 2.993E-01        12.4704        51.8373       1.150E+01
 3.093E-01        11.7372        51.2017       1.127E+01
 3.192E-01        11.0680        50.6026       1.109E+01
 3.292E-01        10.5905        50.0470       1.087E+01
 3.392E-01        10.1134        49.5253       1.066E+01
 3.492E-01         9.6514        49.0501       1.046E+01
 3.591E-01         9.2431        48.5328       1.023E+01
 3.691E-01         8.8654        48.0247       1.003E+01
 3.791E-01         8.5149        47.5413       9.794E+00
 3.891E-01         8.1935        47.0286       9.598E+00
 3.990E-01         7.8724        46.5727       9.389E+00
 4.090E-01         7.6121        46.1889       9.202E+00
 4.190E-01         7.3418        45.7328       9.021E+00
 4.290E-01         7.0790        45.3073       8.826E+00
 4.389E-01         6.8119        44.9239       8.638E+00
 4.489E-01         6.5688        44.5184       8.469E+00
 4.589E-01         6.3548        44.0935       8.287E+00
 4.689E-01         6.1528        43.7503       8.095E+00
 4.788E-01         5.9860        43.3918       7.924E+00
 4.888E-01         5.8018        43.0837       7.753E+00
 4.988E-01         5.6378        42.7550       7.554E+00
 5.088E-01         5.4726        42.4178       7.406E+00
 5.187E-01         5.3278        42.1254       7.238E+00
 5.287E-01         5.1969        41.8254       7.043E+00
 5.387E-01         5.0503        41.5389       6.873E+00
 5.487E-01         4.9377        41.2319       6.724E+00
 5.586E-01         4.7994        40.9110       6.561E+00
 5.686E-01         4.6750        40.6082       6.384E+00
 5.786E-01         4.5423        40.3353       6.225E+00
 5.886E-01         4.4135        40.0235       6.043E+00
 5.985E-01         4.2849        39.7117       5.871E+00
 6.085E-01         4.1769        39.3967       5.729E+00
 6.185E-01         4.0692        39.0847       5.576E+00
 6.285E-01         3.9532        38.8073       5.402E+00
 6.385E-01         3.8292        38.4996       5.248E+00
 6.484E-01         3.7326        38.2182       5.062E+00
 6.584E-01         3.6293        37.8797       4.882E+00
 6.684E-01         3.5181        37.5764       4.695E+00
 6.784E-01         3.4169        37.2441       4.481E+00
 6.883E-01         3.3209        36.9291       4.274E+00
 6.983E-01         3.2353        36.6415       4.072E+00
 7.083E-01         3.1434        36.3662       3.888E+00
 7.183E-01         3.0514        36.1093       3.695E+00
 7.282E-01         2.9767        35.7927       3.483E+00
 7.382E-01         2.9022        35.5015       3.292E+00
 7.482E-01         2.8220        35.2304       3.095E+00
 7.582E-01         2.7498        34.9372       2.927E+00
 7.681E-01         2.6822        34.6502       2.785E+00
 7.781E-01         2.6189        34.3586       2.647E+00
 7.881E-01         2.5663        34.0438       2.497E+00
 7.981E-01         2.5081        33.7251       2.336E+00
 8.080E-01         2.4577        33.3813       2.206E+00
 8.180E-01         2.4029        33.0551       2.076E+00
 8.280E-01         2.3471        32.7002       1.931E+00
 8.380E-01         2.2865        32.3892       1.817E+00
 8.479E-01         2.2270        32.0317       1.687E+00
 8.579E-01         2.1691        31.6835       1.523E+00
 8.679E-01         2.1175        31.3171       1.375E+00
 8.779E-01         2.0669        30.9799       1.249E+00
 8.878E-01         2.0153        30.6226       1.122E+00
 8.978E-01         1.9476        30.2895       1.001E+00
 9.078E-01         1.8728        29.9269       8.848E-01
 9.178E-01         1.7942        29.5469       7.777E-01
 9.277E-01         1.6908        29.1180       6.757E-01
 9.377E-01         1.5775        28.5442       5.869E-01
 9.477E-01         1.4724        28.0820       4.888E-01
 9.577E-01         1.3776        27.6052       3.752E-01
 9.676E-01         1.2651        27.1051       2.645E-01
 9.776E-01         1.1153        26.5909       1.616E-01
 9.876E-01         0.9475        25.9722       8.900E-02
 9.976E-01         0.5563        24.8762       2.424E-02
