      time        distance     velocity
      7.2513     4.324E+01     1.656E-03
      2.4332     3.055E+01     3.487E-03
      5.0595     3.460E+01     1.900E-03
      2.5009     2.893E+01     3.213E-03
      4.0472     3.606E+01     2.475E-03
     31.7474     4.155E+01     3.635E-04
      3.0017     2.873E+01     2.659E-03
      4.6361     4.030E+01     2.415E-03
      2.0476     2.701E+01     3.664E-03
     27.5152     4.882E+01     4.929E-04
      6.2408     4.323E+01     1.924E-03
     76.5768     9.921E+01     3.599E-04
      8.5717     5.429E+01     1.759E-03
      2.2042     2.948E+01     3.715E-03
      4.5273     4.378E+01     2.686E-03
      2.3045     2.982E+01     3.595E-03
      4.6749     3.469E+01     2.061E-03
      2.0673     3.606E+01     4.845E-03
      2.2345     3.129E+01     3.890E-03
      2.1041     3.069E+01     4.051E-03
      2.9902     3.804E+01     3.534E-03
      8.1453     3.690E+01     1.258E-03
     31.2902     7.627E+01     6.771E-04
      8.7616     4.640E+01     1.471E-03
      2.5097     3.191E+01     3.532E-03
      4.0665     2.959E+01     2.021E-03
    393.6281     3.687E+01     2.602E-05
      3.4193     3.009E+01     2.444E-03
      2.9555     3.277E+01     3.080E-03
      7.5705     4.943E+01     1.814E-03
      4.2862     3.634E+01     2.355E-03
      3.4850     2.911E+01     2.320E-03
      5.8570     2.973E+01     1.410E-03
      3.0321     3.683E+01     3.374E-03
      2.9885     2.893E+01     2.689E-03
    300.1378     3.125E+01     2.892E-05
      2.3121     2.973E+01     3.572E-03
      2.0799     2.874E+01     3.838E-03
    732.2197     9.621E+01     3.650E-05
      6.9812     4.524E+01     1.800E-03
     10.0762     2.898E+01     7.990E-04
      9.4017     4.730E+01     1.397E-03
      2.4956     3.066E+01     3.412E-03
     30.6714     7.614E+01     6.895E-04
      2.2510     2.956E+01     3.648E-03
   1298.0413     1.189E+02     2.544E-05
      2.6326     3.095E+01     3.265E-03
      3.8530     3.018E+01     2.176E-03
      3.5034     3.475E+01     2.756E-03
      4.7407     4.651E+01     2.726E-03
      1.8755     2.587E+01     3.831E-03
      2.5161     2.925E+01     3.229E-03
      2.2862     2.994E+01     3.638E-03
      3.2046     3.804E+01     3.298E-03
      2.1680     2.975E+01     3.812E-03
      2.1373     3.197E+01     4.155E-03
    287.9534     5.238E+01     5.053E-05
    645.8441     1.013E+02     4.359E-05
      3.7457     3.552E+01     2.634E-03
      2.3741     2.713E+01     3.174E-03
     21.8329     6.433E+01     8.185E-04
      4.7000     4.533E+01     2.679E-03
      2.1411     2.889E+01     3.748E-03
      4.4908     2.811E+01     1.739E-03
      3.2521     3.247E+01     2.774E-03
      3.6379     2.821E+01     2.154E-03
      4.3237     2.993E+01     1.923E-03
      2.7596     3.075E+01     3.095E-03
      7.8349     4.719E+01     1.673E-03
      7.7522     3.937E+01     1.411E-03
      1.7596     2.846E+01     4.492E-03
      2.0596     2.658E+01     3.585E-03
     63.4389     3.088E+01     1.352E-04
      2.5828     3.001E+01     3.228E-03
      2.3934     3.035E+01     3.523E-03
      8.8738     3.073E+01     9.618E-04
      4.1807     3.623E+01     2.407E-03
      2.2799     2.980E+01     3.631E-03
     23.1529     5.054E+01     6.064E-04
      2.4036     3.039E+01     3.512E-03
      3.1014     4.054E+01     3.631E-03
      2.2042     2.948E+01     3.715E-03
     30.9183     7.965E+01     7.156E-04
    319.1764     3.203E+01     2.787E-05
     22.5752     6.971E+01     8.578E-04
      4.5500     4.313E+01     2.633E-03
    377.1593     3.493E+01     2.573E-05
      4.0623     4.222E+01     2.887E-03
      3.2352     3.901E+01     3.350E-03
    376.1742     5.319E+01     3.927E-05
      4.8876     4.405E+01     2.504E-03
      3.0443     2.870E+01     2.619E-03
    103.1027     4.480E+01     1.207E-04
      4.1347     2.946E+01     1.979E-03
      2.8821     3.264E+01     3.146E-03
