      time        distance     velocity
      0.3820     1.259E+01     9.153E-03
      0.6462     1.477E+01     6.350E-03
      2.0509     1.679E+01     2.274E-03
      0.6141     1.288E+01     5.825E-03
      0.5395     1.170E+01     6.026E-03
     49.8943     1.839E+01     1.024E-04
      0.1830     1.096E+01     1.663E-02
      0.9487     1.518E+01     4.445E-03
      0.1973     1.086E+01     1.528E-02
      0.2694     1.220E+01     1.258E-02
      0.7804     1.759E+01     6.260E-03
      0.2258     1.142E+01     1.405E-02
      0.6584     1.292E+01     5.450E-03
      0.5463     1.251E+01     6.359E-03
     39.5471     1.825E+01     1.282E-04
      0.4490     1.196E+01     7.401E-03
     51.8083     1.867E+01     1.001E-04
      1.0843     1.727E+01     4.424E-03
     16.4345     2.080E+01     3.515E-04
      0.2063     1.099E+01     1.480E-02
      0.2988     1.204E+01     1.119E-02
     10.2755     1.635E+01     4.419E-04
      0.5287     1.138E+01     5.981E-03
      0.5400     1.752E+01     9.013E-03
      0.5019     1.399E+01     7.740E-03
      0.3274     1.153E+01     9.783E-03
    171.3951     2.238E+01     3.626E-05
      1.1115     2.240E+01     5.598E-03
      0.3526     1.318E+01     1.038E-02
     46.0344     1.907E+01     1.150E-04
      0.5937     1.248E+01     5.838E-03
     44.9600     1.876E+01     1.159E-04
      4.0902     1.541E+01     1.047E-03
      0.2972     1.160E+01     1.084E-02
     96.2794     1.974E+01     5.694E-05
      0.8605     1.503E+01     4.851E-03
      0.4183     1.117E+01     7.418E-03
     49.8943     1.839E+01     1.024E-04
    112.6864     2.015E+01     4.968E-05
      0.9817     1.570E+01     4.443E-03
      0.3885     1.225E+01     8.761E-03
      0.7643     2.140E+01     7.778E-03
     83.0954     1.938E+01     6.480E-05
     42.5208     4.775E+01     3.119E-04
      0.3126     1.243E+01     1.105E-02
      0.1886     1.078E+01     1.588E-02
     83.0954     1.938E+01     6.480E-05
    251.0159     2.685E+01     2.971E-05
      0.9487     1.518E+01     4.445E-03
      0.5542     1.500E+01     7.519E-03
      0.6131     1.738E+01     7.876E-03
      0.8220     2.063E+01     6.971E-03
