 cum_prob         time          distance       velocity
 3.896E-05      4991.6240       193.3298       6.351E+01
 1.001E-02      1605.8120       138.1495       3.479E+01
 1.999E-02       824.2217       127.2163       2.725E+01
 2.996E-02       503.0099       117.6556       2.340E+01
 3.994E-02       356.5204       111.9116       2.061E+01
 4.991E-02       255.9925       107.4963       1.858E+01
 5.988E-02       207.6186       102.8492       1.715E+01
 6.986E-02       174.7927        98.4488       1.602E+01
 7.983E-02       149.8015        94.5326       1.506E+01
 8.981E-02       131.1164        91.4888       1.434E+01
 9.978E-02       114.4721        88.6099       1.380E+01
 1.098E-01       103.9318        85.8720       1.323E+01
 1.197E-01        92.2807        83.7906       1.276E+01
 1.297E-01        82.8792        82.1483       1.235E+01
 1.397E-01        73.8295        80.5961       1.197E+01
 1.497E-01        66.3862        78.9945       1.163E+01
 1.596E-01        59.7129        77.4097       1.133E+01
 1.696E-01        53.9968        76.0846       1.100E+01
 1.796E-01        48.9873        74.8066       1.073E+01
 1.896E-01        44.4539        73.4469       1.050E+01
 1.995E-01        40.6757        72.3164       1.030E+01
 2.095E-01        37.5674        71.1737       1.010E+01
 2.195E-01        34.7400        70.1051       9.912E+00
 2.294E-01        32.0561        69.1834       9.719E+00
 2.394E-01        30.0604        68.2341       9.541E+00
 2.494E-01        28.1342        67.2199       9.348E+00
 2.594E-01        26.3715        66.3665       9.168E+00
 2.693E-01        24.5557        65.4516       8.993E+00
 2.793E-01        23.1292        64.5447       8.825E+00
 2.893E-01        21.8697        63.6398       8.654E+00
 2.993E-01        20.5361        62.7875       8.468E+00
 3.092E-01        19.5000        62.0112       8.310E+00
 3.192E-01        18.3936        61.2915       8.139E+00
 3.292E-01        17.3631        60.6199       7.964E+00
 3.392E-01        16.4990        60.0030       7.822E+00
 3.491E-01        15.7959        59.4052       7.676E+00
 3.591E-01        15.1401        58.8253       7.520E+00
 3.691E-01        14.5607        58.2785       7.363E+00
 3.791E-01        14.0151        57.7870       7.199E+00
 3.890E-01        13.5570        57.2244       7.068E+00
 3.990E-01        13.0831        56.7209       6.923E+00
 4.090E-01        12.6665        56.1946       6.795E+00
 4.190E-01        12.2640        55.6648       6.663E+00
 4.289E-01        11.8350        55.1374       6.532E+00
 4.389E-01        11.4260        54.7157       6.411E+00
 4.489E-01        11.0976        54.2777       6.266E+00
 4.589E-01        10.8111        53.8210       6.128E+00
 4.688E-01        10.4857        53.3427       5.977E+00
 4.788E-01        10.1729        52.9510       5.842E+00
 4.888E-01         9.8695        52.5773       5.688E+00
 4.988E-01         9.5731        52.1815       5.544E+00
 5.087E-01         9.3104        51.8323       5.415E+00
 5.187E-01         9.0580        51.5034       5.286E+00
 5.287E-01         8.7919        51.1449       5.165E+00
 5.387E-01         8.5503        50.7942       5.059E+00
 5.486E-01         8.3029        50.4117       4.924E+00
 5.586E-01         8.0840        50.0661       4.797E+00
 5.686E-01         7.8812        49.7287       4.678E+00
 5.785E-01         7.6750        49.3512       4.569E+00
 5.885E-01         7.4707        49.0037       4.456E+00
 5.985E-01         7.2807        48.6559       4.326E+00
 6.085E-01         7.0808        48.3214       4.202E+00
 6.184E-01         6.8828        47.9225       4.074E+00
 6.284E-01         6.6820        47.5534       3.940E+00
 6.384E-01         6.5027        47.1730       3.811E+00
 6.484E-01         6.3027        46.8039       3.680E+00
 6.583E-01         6.1392        46.4078       3.549E+00
 6.683E-01         5.9537        46.0265       3.390E+00
 6.783E-01         5.8072        45.6497       3.257E+00
 6.883E-01         5.6374        45.2586       3.113E+00
 6.982E-01         5.4841        44.8727       2.984E+00
 7.082E-01         5.3144        44.4313       2.859E+00
 7.182E-01         5.1648        44.0307       2.735E+00
 7.282E-01         5.0226        43.6592       2.591E+00
 7.381E-01         4.8857        43.3008       2.472E+00
 7.481E-01         4.7549        42.9667       2.350E+00
 7.581E-01         4.6150        42.6315       2.228E+00
 7.681E-01         4.4760        42.3124       2.100E+00
 7.780E-01         4.3370        41.9794       1.983E+00
 7.880E-01         4.1916        41.6193       1.874E+00
 7.980E-01         4.0665        41.2358       1.752E+00
 8.080E-01         3.9334        40.9203       1.636E+00
 8.179E-01         3.8065        40.5307       1.523E+00
 8.279E-01         3.6953        40.1786       1.400E+00
 8.379E-01         3.5915        39.7877       1.297E+00
 8.479E-01         3.4956        39.3825       1.199E+00
 8.578E-01         3.3951        38.9910       1.103E+00
 8.678E-01         3.3047        38.5820       1.012E+00
 8.778E-01         3.1917        38.1417       9.318E-01
 8.878E-01         3.0847        37.6684       8.387E-01
 8.977E-01         2.9761        37.2095       7.607E-01
 9.077E-01         2.8374        36.6992       6.850E-01
 9.177E-01         2.6937        36.2465       6.112E-01
 9.276E-01         2.5123        35.7442       5.448E-01
 9.376E-01         2.3328        35.1749       4.668E-01
 9.476E-01         2.1758        34.5462       3.954E-01
 9.576E-01         2.0140        33.7768       2.942E-01
 9.675E-01         1.8320        32.9399       2.065E-01
 9.775E-01         1.5848        32.3003       1.218E-01
 9.875E-01         1.2835        31.5982       6.633E-02
 9.975E-01         0.8579        30.3647       2.564E-02
