      time        distance     velocity
      9.4077     2.262E+01     6.679E-04
      3.1918     2.520E+01     2.193E-03
     65.6526     2.935E+01     1.242E-04
     39.3010     2.531E+01     1.789E-04
      3.7769     2.075E+01     1.526E-03
     86.8199     3.331E+01     1.066E-04
    442.2591     5.803E+01     3.645E-05
      1.2526     2.062E+01     4.573E-03
      0.9548     1.721E+01     5.007E-03
    429.1582     6.011E+01     3.891E-05
      1.8167     1.962E+01     3.001E-03
     11.5447     3.259E+01     7.841E-04
      5.2322     2.590E+01     1.375E-03
     44.5997     2.588E+01     1.612E-04
      1.1962     1.831E+01     4.252E-03
      5.5485     3.113E+01     1.559E-03
      5.6086     3.025E+01     1.498E-03
      2.7143     2.503E+01     2.562E-03
      6.7773     3.340E+01     1.369E-03
      6.9792     3.497E+01     1.392E-03
      5.5487     3.182E+01     1.593E-03
      3.1784     2.290E+01     2.002E-03
     18.5091     2.213E+01     3.322E-04
      4.3602     2.714E+01     1.729E-03
      1.0420     1.864E+01     4.970E-03
     25.7938     2.340E+01     2.520E-04
      1.8658     2.095E+01     3.119E-03
      1.2138     1.993E+01     4.561E-03
      1.2045     2.030E+01     4.681E-03
      1.8562     2.167E+01     3.242E-03
      8.8153     2.038E+01     6.421E-04
     23.0915     2.380E+01     2.863E-04
     39.3010     2.531E+01     1.789E-04
      1.5237     1.827E+01     3.331E-03
     10.2496     2.339E+01     6.338E-04
      1.2317     1.963E+01     4.427E-03
      1.6748     2.004E+01     3.324E-03
      8.8153     2.038E+01     6.421E-04
      1.6757     1.735E+01     2.876E-03
      3.6410     2.617E+01     1.997E-03
      4.4114     2.767E+01     1.742E-03
      2.8893     2.317E+01     2.228E-03
      2.2710     1.989E+01     2.432E-03
     10.9602     2.696E+01     6.832E-04
      0.9233     1.753E+01     5.272E-03
      0.8714     1.848E+01     5.889E-03
      1.3720     2.077E+01     4.204E-03
      2.6719     2.656E+01     2.761E-03
      1.0014     1.763E+01     4.890E-03
     19.1759     3.814E+01     5.526E-04
      6.5261     3.406E+01     1.450E-03
      1.0056     1.906E+01     5.265E-03
      3.1842     2.520E+01     2.199E-03
      1.2852     2.172E+01     4.694E-03
      1.0528     1.973E+01     5.206E-03
      3.6430     2.197E+01     1.675E-03
      1.1604     1.934E+01     4.630E-03
      0.9294     1.800E+01     5.379E-03
      1.1187     1.923E+01     4.774E-03
