 cum_prob         time          distance       velocity
 4.888E-05      2497.8728       113.2710       1.818E+01
 1.002E-02       718.2723        70.3436       9.465E+00
 1.999E-02       316.1949        65.5027       8.436E+00
 2.996E-02       168.8185        61.7198       7.780E+00
 3.993E-02       121.8396        59.5705       7.387E+00
 4.990E-02        89.9365        57.6166       7.152E+00
 5.988E-02        74.0362        55.9843       6.992E+00
 6.985E-02        64.4554        54.7398       6.839E+00
 7.982E-02        57.5421        53.6359       6.749E+00
 8.979E-02        51.7523        52.6474       6.664E+00
 9.976E-02        47.8322        51.4321       6.591E+00
 1.097E-01        43.7649        50.5657       6.504E+00
 1.197E-01        40.4231        49.8227       6.436E+00
 1.297E-01        37.7800        49.1596       6.367E+00
 1.396E-01        35.8087        48.5841       6.282E+00
 1.496E-01        33.8999        48.0921       6.206E+00
 1.596E-01        32.2026        47.6105       6.125E+00
 1.696E-01        30.4177        47.1484       6.046E+00
 1.795E-01        29.0998        46.6627       5.947E+00
 1.895E-01        27.9798        46.2859       5.827E+00
 1.995E-01        27.1639        45.8797       5.709E+00
 2.094E-01        26.3975        45.4307       5.594E+00
 2.194E-01        25.7149        44.9823       5.505E+00
 2.294E-01        25.0021        44.5803       5.411E+00
 2.394E-01        24.2207        44.1600       5.306E+00
 2.493E-01        23.5023        43.7962       5.223E+00
 2.593E-01        22.7644        43.4534       5.137E+00
 2.693E-01        22.0493        43.1131       5.045E+00
 2.792E-01        21.4635        42.7929       4.958E+00
 2.892E-01        20.8999        42.4654       4.881E+00
 2.992E-01        20.2909        42.1579       4.810E+00
 3.092E-01        19.6449        41.8507       4.745E+00
 3.191E-01        19.1598        41.5782       4.673E+00
 3.291E-01        18.6964        41.2657       4.578E+00
 3.391E-01        18.1940        40.9530       4.505E+00
 3.490E-01        17.6989        40.6655       4.421E+00
 3.590E-01        17.2050        40.3824       4.349E+00
 3.690E-01        16.6658        40.0833       4.275E+00
 3.790E-01        16.2524        39.8374       4.203E+00
 3.889E-01        15.7756        39.5232       4.114E+00
 3.989E-01        15.3642        39.2493       4.039E+00
 4.089E-01        14.9248        38.9607       3.958E+00
 4.188E-01        14.5277        38.7154       3.891E+00
 4.288E-01        14.0885        38.4732       3.813E+00
 4.388E-01        13.6709        38.2063       3.752E+00
 4.488E-01        13.2926        37.9530       3.663E+00
 4.587E-01        12.8619        37.7306       3.578E+00
 4.687E-01        12.4634        37.4422       3.492E+00
 4.787E-01        12.0472        37.1987       3.410E+00
 4.886E-01        11.7651        36.8998       3.335E+00
 4.986E-01        11.4362        36.6523       3.262E+00
 5.086E-01        11.1329        36.3806       3.195E+00
 5.185E-01        10.7893        36.1458       3.124E+00
 5.285E-01        10.4589        35.9174       3.055E+00
 5.385E-01        10.1840        35.6937       2.993E+00
 5.485E-01         9.9404        35.5035       2.925E+00
 5.584E-01         9.6332        35.3115       2.862E+00
 5.684E-01         9.3966        35.1240       2.801E+00
 5.784E-01         9.1516        34.9300       2.737E+00
 5.883E-01         8.9069        34.7364       2.686E+00
 5.983E-01         8.6772        34.5639       2.632E+00
 6.083E-01         8.4699        34.3741       2.577E+00
 6.183E-01         8.2658        34.1941       2.526E+00
 6.282E-01         8.0961        34.0102       2.479E+00
 6.382E-01         7.9301        33.8255       2.432E+00
 6.482E-01         7.7430        33.6482       2.387E+00
 6.581E-01         7.5948        33.4731       2.344E+00
 6.681E-01         7.4361        33.2830       2.300E+00
 6.781E-01         7.3016        33.1107       2.251E+00
 6.881E-01         7.1577        32.9424       2.205E+00
 6.980E-01         7.0177        32.7483       2.153E+00
 7.080E-01         6.8663        32.5513       2.107E+00
 7.180E-01         6.7319        32.3923       2.058E+00
 7.279E-01         6.5513        32.2196       2.012E+00
 7.379E-01         6.3962        32.0575       1.978E+00
 7.479E-01         6.2515        31.8745       1.927E+00
 7.579E-01         6.1222        31.6848       1.882E+00
 7.678E-01         5.9553        31.5023       1.836E+00
 7.778E-01         5.8290        31.3055       1.782E+00
 7.878E-01         5.6730        31.1138       1.733E+00
 7.977E-01         5.5354        30.9099       1.675E+00
 8.077E-01         5.3949        30.7145       1.608E+00
 8.177E-01         5.2304        30.5420       1.549E+00
 8.277E-01         5.0949        30.3701       1.494E+00
 8.376E-01         4.9945        30.2497       1.449E+00
 8.476E-01         4.9110        30.1173       1.400E+00
 8.576E-01         4.8205        29.9669       1.342E+00
 8.675E-01         4.7475        29.8314       1.279E+00
 8.775E-01         4.6812        29.6901       1.217E+00
 8.875E-01         4.6128        29.5707       1.155E+00
 8.975E-01         4.5497        29.4395       1.090E+00
 9.074E-01         4.4751        29.3237       1.015E+00
 9.174E-01         4.3964        29.1617       9.323E-01
 9.274E-01         4.3343        29.0135       8.382E-01
 9.373E-01         4.2531        28.8759       7.274E-01
 9.473E-01         4.1904        28.7033       6.272E-01
 9.573E-01         4.0877        28.5401       4.807E-01
 9.673E-01         3.9501        28.3576       2.986E-01
 9.772E-01         3.7498        28.0444       2.050E-01
 9.872E-01         3.2886        27.6536       1.056E-01
 9.972E-01         2.5073        26.8771       3.449E-02
