 Q       5m     10m     15m     20m     25m     30m     35m     40m     45m
0.01    4.37   10.06   15.24   20.70   26.01   31.39   37.32   42.98   49.15
0.05    5.69   10.52   16.25   22.12   28.03   33.72   40.18   46.68   53.99
0.10    6.37   10.64   17.12   23.35   29.57   35.79   42.92   50.06   57.88
0.20    6.42   10.92   18.54   25.21   32.10   39.14   47.44   55.48   64.39
0.30    6.44   11.91   19.99   27.17   34.78   42.27   51.75   60.42   69.44
0.40    6.44   12.28   21.87   29.61   37.92   45.88   56.57   65.32   75.08
0.50    6.44   12.68   24.26   32.56   41.72   50.17   62.43   70.84   80.90
0.60    6.44   13.34   27.24   36.45   46.83   55.98   69.22   77.06   87.30
0.70    6.44   14.72   31.77   41.59   53.57   63.13   76.04   84.54   95.17
0.80    6.44   18.74   39.75   48.82   64.52   73.05   84.97   95.20  106.17
0.90    6.56   28.00   56.77   63.20   77.97   87.23   98.30  110.36  119.55
0.95    6.66   37.56   69.36   79.19   86.36   95.84  107.80  121.33  131.06
0.99    9.82   69.91   97.19  101.19  108.25  115.14  128.52  141.08  152.92
