 cum_prob         time          distance       velocity
 8.391E-05      2498.8877       162.5318       1.011E+02
 1.007E-02      1357.1669       101.1875       4.766E+01
 2.005E-02       718.9326        92.8459       3.822E+01
 3.004E-02       431.3253        87.8856       3.389E+01
 4.002E-02       293.1343        83.2514       3.125E+01
 5.001E-02       219.5893        79.1975       2.898E+01
 5.999E-02       161.8174        76.0333       2.664E+01
 6.998E-02       117.1487        72.6015       2.473E+01
 7.996E-02        91.7825        69.3349       2.348E+01
 8.995E-02        77.7078        65.9703       2.215E+01
 9.993E-02        65.7849        63.1961       2.106E+01
 1.099E-01        57.1427        61.3237       2.016E+01
 1.199E-01        48.8929        59.4452       1.936E+01
 1.299E-01        43.3973        57.6454       1.851E+01
 1.399E-01        38.6825        56.0720       1.782E+01
 1.499E-01        35.0142        54.6029       1.732E+01
 1.598E-01        31.3692        53.3426       1.687E+01
 1.698E-01        28.8117        52.1706       1.645E+01
 1.798E-01        26.2183        51.0745       1.605E+01
 1.898E-01        23.7123        49.9378       1.563E+01
 1.998E-01        21.7876        48.8798       1.527E+01
 2.098E-01        20.0461        47.8804       1.493E+01
 2.198E-01        18.4797        47.0011       1.460E+01
 2.297E-01        17.2071        46.2567       1.430E+01
 2.397E-01        16.1525        45.4292       1.407E+01
 2.497E-01        15.0470        44.7968       1.381E+01
 2.597E-01        14.0634        44.0251       1.350E+01
 2.697E-01        13.1696        43.3696       1.320E+01
 2.797E-01        12.3757        42.7056       1.290E+01
 2.896E-01        11.6229        42.1854       1.261E+01
 2.996E-01        10.8820        41.6081       1.236E+01
 3.096E-01        10.3764        41.1067       1.203E+01
 3.196E-01         9.8659        40.4619       1.173E+01
 3.296E-01         9.3936        39.8782       1.150E+01
 3.396E-01         8.8975        39.3655       1.121E+01
 3.496E-01         8.4549        38.8151       1.097E+01
 3.595E-01         8.0108        38.2557       1.070E+01
 3.695E-01         7.6716        37.7965       1.047E+01
 3.795E-01         7.3488        37.3572       1.018E+01
 3.895E-01         7.0396        36.9261       9.928E+00
 3.995E-01         6.7253        36.4620       9.650E+00
 4.095E-01         6.4728        35.9049       9.365E+00
 4.194E-01         6.1825        35.4259       9.103E+00
 4.294E-01         5.9873        34.9671       8.882E+00
 4.394E-01         5.7279        34.5959       8.698E+00
 4.494E-01         5.5231        34.2216       8.505E+00
 4.594E-01         5.3151        33.8334       8.285E+00
 4.694E-01         5.1064        33.5154       8.058E+00
 4.794E-01         4.9262        33.2026       7.900E+00
 4.893E-01         4.7399        32.8988       7.684E+00
 4.993E-01         4.5564        32.5894       7.496E+00
 5.093E-01         4.4049        32.2964       7.270E+00
 5.193E-01         4.2342        31.9996       7.049E+00
 5.293E-01         4.0922        31.6300       6.833E+00
 5.393E-01         3.9461        31.3867       6.649E+00
 5.493E-01         3.7925        31.0911       6.450E+00
 5.592E-01         3.6484        30.7641       6.263E+00
 5.692E-01         3.5303        30.4215       6.090E+00
 5.792E-01         3.3851        30.1294       5.891E+00
 5.892E-01         3.2772        29.9155       5.702E+00
 5.992E-01         3.1772        29.6407       5.532E+00
 6.092E-01         3.0867        29.3683       5.358E+00
 6.191E-01         3.0032        29.0608       5.152E+00
 6.291E-01         2.9151        28.8022       4.972E+00
 6.391E-01         2.8305        28.5706       4.789E+00
 6.491E-01         2.7475        28.3529       4.610E+00
 6.591E-01         2.6641        28.0939       4.463E+00
 6.691E-01         2.5876        27.8646       4.283E+00
 6.791E-01         2.5248        27.6238       4.114E+00
 6.890E-01         2.4506        27.4108       3.953E+00
 6.990E-01         2.3843        27.1958       3.804E+00
 7.090E-01         2.3138        26.9907       3.661E+00
 7.190E-01         2.2373        26.8072       3.530E+00
 7.290E-01         2.1678        26.5592       3.371E+00
 7.390E-01         2.0896        26.3792       3.214E+00
 7.490E-01         2.0244        26.1752       3.051E+00
 7.589E-01         1.9604        25.9825       2.873E+00
 7.689E-01         1.9041        25.8030       2.716E+00
 7.789E-01         1.8434        25.6224       2.585E+00
 7.889E-01         1.7956        25.4178       2.412E+00
 7.989E-01         1.7429        25.2280       2.273E+00
 8.089E-01         1.6928        25.0554       2.115E+00
 8.188E-01         1.6398        24.8709       1.957E+00
 8.288E-01         1.5892        24.7101       1.777E+00
 8.388E-01         1.5405        24.5274       1.642E+00
 8.488E-01         1.4927        24.3494       1.497E+00
 8.588E-01         1.4459        24.1870       1.353E+00
 8.688E-01         1.3850        23.9872       1.212E+00
 8.788E-01         1.3404        23.7903       1.076E+00
 8.887E-01         1.2951        23.5914       9.482E-01
 8.987E-01         1.2463        23.3830       8.188E-01
 9.087E-01         1.1941        23.1557       6.995E-01
 9.187E-01         1.1410        22.9528       5.837E-01
 9.287E-01         1.0814        22.7040       4.494E-01
 9.387E-01         1.0086        22.4409       3.498E-01
 9.486E-01         0.9324        22.1512       2.782E-01
 9.586E-01         0.8484        21.9196       2.181E-01
 9.686E-01         0.7546        21.5655       1.516E-01
 9.786E-01         0.6626        21.2749       9.497E-02
 9.886E-01         0.5590        20.8048       5.216E-02
 9.986E-01         0.3144        19.8610       2.165E-02
