      time        distance     velocity
      0.3382     1.165E+01     9.570E-03
      1.4414     1.504E+01     2.898E-03
      0.2522     1.079E+01     1.189E-02
      0.3786     1.121E+01     8.226E-03
      0.2535     1.018E+01     1.115E-02
      0.7123     1.457E+01     5.683E-03
      0.3225     1.080E+01     9.305E-03
      1.4928     1.329E+01     2.473E-03
      0.2680     1.049E+01     1.088E-02
      0.2741     1.053E+01     1.067E-02
      3.9094     1.872E+01     1.330E-03
      0.3620     1.104E+01     8.469E-03
      0.3515     1.115E+01     8.816E-03
      0.2860     1.116E+01     1.084E-02
      0.4490     1.256E+01     7.772E-03
    118.3657     2.568E+01     6.026E-05
      0.4568     1.231E+01     7.487E-03
      0.5828     1.263E+01     6.018E-03
      1.5157     1.201E+01     2.202E-03
      0.3318     1.173E+01     9.822E-03
      0.2770     9.524E+00     9.553E-03
      0.3285     1.131E+01     9.565E-03
      0.8909     1.386E+01     4.320E-03
      0.6538     1.173E+01     4.983E-03
      4.2308     1.860E+01     1.221E-03
      7.2226     2.505E+01     9.633E-04
    101.7032     1.763E+01     4.815E-05
      0.3017     1.031E+01     9.488E-03
      0.5381     1.329E+01     6.861E-03
     34.0970     2.711E+01     2.209E-04
      0.3575     1.196E+01     9.294E-03
      0.3257     1.043E+01     8.897E-03
      0.9497     2.000E+01     5.849E-03
      2.3945     2.296E+01     2.664E-03
      4.4357     1.895E+01     1.186E-03
      0.3272     1.040E+01     8.830E-03
      0.3366     1.135E+01     9.369E-03
      1.9376     1.396E+01     2.001E-03
      0.3077     1.134E+01     1.024E-02
      0.3994     1.073E+01     7.464E-03
     24.3591     2.699E+01     3.077E-04
      0.2819     1.075E+01     1.059E-02
      0.2727     1.112E+01     1.133E-02
      0.3766     1.246E+01     9.192E-03
      0.3592     1.051E+01     8.128E-03
      0.4760     1.164E+01     6.791E-03
      0.5663     1.157E+01     5.677E-03
      3.4098     1.356E+01     1.105E-03
      4.4447     1.445E+01     9.030E-04
      0.7432     1.352E+01     5.052E-03
      0.8145     1.854E+01     6.321E-03
      0.5496     1.305E+01     6.597E-03
      1.9944     1.701E+01     2.369E-03
      0.6055     1.411E+01     6.472E-03
      0.5730     1.146E+01     5.556E-03
      0.3372     1.074E+01     8.845E-03
      0.6557     1.338E+01     5.666E-03
      0.2276     9.157E+00     1.117E-02
      0.3952     1.253E+01     8.806E-03
      0.2414     9.061E+00     1.043E-02
      0.3099     1.122E+01     1.006E-02
      0.3501     1.127E+01     8.944E-03
      0.2721     1.058E+01     1.080E-02
      1.9244     1.367E+01     1.974E-03
      0.2936     1.116E+01     1.056E-02
      4.4012     2.458E+01     1.552E-03
      2.4778     1.132E+01     1.270E-03
      1.8834     1.154E+01     1.702E-03
      0.4155     1.297E+01     8.670E-03
      0.6316     1.169E+01     5.141E-03
     13.6731     2.144E+01     4.356E-04
      0.3319     1.031E+01     8.633E-03
    326.3898     3.259E+01     2.774E-05
      0.6936     1.506E+01     6.030E-03
      0.7069     1.529E+01     6.009E-03
      8.4073     1.423E+01     4.702E-04
      0.3797     1.172E+01     8.576E-03
      0.6152     1.381E+01     6.235E-03
      0.3545     1.135E+01     8.893E-03
      0.3087     1.083E+01     9.741E-03
      0.9497     2.000E+01     5.849E-03
      0.3272     1.040E+01     8.830E-03
      0.2623     1.029E+01     1.090E-02
      0.3819     1.192E+01     8.669E-03
      0.3748     1.246E+01     9.233E-03
     15.3496     2.275E+01     4.117E-04
      0.9274     1.559E+01     4.670E-03
      0.8634     1.505E+01     4.840E-03
      1.7576     2.095E+01     3.311E-03
      2.1229     1.737E+01     2.273E-03
      0.3035     1.060E+01     9.698E-03
      1.4928     1.329E+01     2.473E-03
      0.3764     1.101E+01     8.124E-03
      1.9244     1.367E+01     1.974E-03
      1.3884     1.158E+01     2.318E-03
      0.3502     1.262E+01     1.001E-02
      3.2720     2.874E+01     2.440E-03
      2.8396     2.737E+01     2.677E-03
      0.6505     1.540E+01     6.576E-03
      0.2444     1.049E+01     1.193E-02
      0.7957     1.228E+01     4.288E-03
      0.2998     1.136E+01     1.052E-02
      0.6676     1.455E+01     6.054E-03
      2.6007     1.904E+01     2.034E-03
      0.3504     1.109E+01     8.792E-03
      0.2305     9.899E+00     1.193E-02
      0.3203     1.114E+01     9.665E-03
      0.7432     1.352E+01     5.052E-03
      0.9912     9.962E+00     2.792E-03
      1.2065     1.793E+01     4.127E-03
      2.7753     1.357E+01     1.358E-03
      2.9083     1.561E+01     1.491E-03
      0.6541     1.370E+01     5.819E-03
      2.5490     1.462E+01     1.593E-03
      0.6597     1.447E+01     6.091E-03
      0.2290     9.975E+00     1.210E-02
     10.0485     2.725E+01     7.533E-04
      0.2793     1.080E+01     1.074E-02
      1.9244     1.367E+01     1.974E-03
     14.0129     2.188E+01     4.337E-04
      1.5508     1.436E+01     2.573E-03
      0.2603     1.030E+01     1.099E-02
      0.3732     1.255E+01     9.344E-03
      0.5597     1.157E+01     5.741E-03
      0.3471     1.248E+01     9.985E-03
      0.5650     1.319E+01     6.487E-03
      0.3168     1.087E+01     9.531E-03
      0.3333     1.134E+01     9.454E-03
      0.2660     9.493E+00     9.914E-03
      1.5559     2.072E+01     3.699E-03
      0.3602     1.167E+01     9.001E-03
      0.7197     1.469E+01     5.669E-03
      0.3039     1.030E+01     9.411E-03
      0.2540     1.004E+01     1.098E-02
      0.2408     1.035E+01     1.194E-02
      0.3165     9.992E+00     8.770E-03
      0.5482     1.386E+01     7.022E-03
      0.3538     1.198E+01     9.410E-03
      0.3568     1.210E+01     9.422E-03
      0.2520     1.022E+01     1.126E-02
      5.1396     1.419E+01     7.671E-04
      1.1021     1.487E+01     3.748E-03
      0.3130     1.134E+01     1.006E-02
      0.2801     1.045E+01     1.037E-02
      1.6361     1.318E+01     2.237E-03
      0.2828     1.047E+01     1.028E-02
      6.2405     2.471E+01     1.100E-03
      0.4586     1.371E+01     8.305E-03
    132.7578     2.787E+01     5.832E-05
      2.5869     1.291E+01     1.387E-03
      1.1826     1.776E+01     4.172E-03
      0.2506     1.001E+01     1.110E-02
      0.3053     1.146E+01     1.043E-02
      1.6103     1.321E+01     2.279E-03
      0.3060     1.101E+01     9.995E-03
      1.0381     1.060E+01     2.837E-03
      1.5063     1.696E+01     3.127E-03
      0.4916     1.329E+01     7.508E-03
      2.4679     1.396E+01     1.572E-03
     19.8380     3.026E+01     4.237E-04
      0.3081     1.124E+01     1.013E-02
     63.8654     1.648E+01     7.170E-05
      0.5295     1.210E+01     6.346E-03
      0.3257     1.043E+01     8.897E-03
      1.9244     1.367E+01     1.974E-03
    142.4145     1.743E+01     3.400E-05
      2.7548     1.289E+01     1.300E-03
      1.4362     1.279E+01     2.474E-03
      0.2083     9.718E+00     1.296E-02
      0.3419     1.212E+01     9.849E-03
      0.3488     1.212E+01     9.653E-03
      1.0047     1.395E+01     3.857E-03
      5.6996     2.475E+01     1.206E-03
      0.2851     1.119E+01     1.090E-02
      0.2933     1.117E+01     1.058E-02
      0.1866     9.381E+00     1.396E-02
      0.2908     1.101E+01     1.052E-02
      0.2727     1.059E+01     1.079E-02
      1.5232     2.041E+01     3.721E-03
      1.2286     1.193E+01     2.698E-03
      1.3721     1.277E+01     2.586E-03
      2.8423     2.472E+01     2.416E-03
      3.8249     1.435E+01     1.042E-03
    336.3647     4.175E+01     3.448E-05
      0.2735     9.763E+00     9.916E-03
      0.6569     1.609E+01     6.802E-03
      0.3344     1.132E+01     9.406E-03
      0.4820     1.123E+01     6.471E-03
      0.3744     1.092E+01     8.104E-03
      0.6325     1.402E+01     6.157E-03
     20.9607     2.579E+01     3.418E-04
      0.7588     1.488E+01     5.446E-03
      0.3153     1.061E+01     9.346E-03
      0.2941     1.033E+01     9.759E-03
      0.2996     1.152E+01     1.068E-02
      0.3432     1.094E+01     8.858E-03
      0.3017     1.031E+01     9.488E-03
      0.2784     1.063E+01     1.061E-02
      1.3839     1.125E+01     2.259E-03
      1.7429     1.353E+01     2.156E-03
      0.4831     1.227E+01     7.057E-03
      0.2966     1.119E+01     1.048E-02
      0.5749     1.141E+01     5.515E-03
      0.3421     1.201E+01     9.748E-03
      1.4387     1.275E+01     2.462E-03
      0.4132     1.296E+01     8.714E-03
      0.2907     1.085E+01     1.037E-02
      0.3490     1.064E+01     8.472E-03
      0.5133     1.372E+01     7.426E-03
   1709.4110     2.972E+01     4.829E-06
      0.3209     1.017E+01     8.807E-03
      0.3239     1.025E+01     8.788E-03
      0.3115     1.143E+01     1.019E-02
      0.3714     1.139E+01     8.517E-03
      0.3059     1.025E+01     9.302E-03
      0.2707     9.585E+00     9.836E-03
      0.4929     1.278E+01     7.204E-03
     14.8775     2.931E+01     5.473E-04
      0.3108     1.088E+01     9.726E-03
      1.2511     1.834E+01     4.071E-03
      2.5499     1.168E+01     1.272E-03
      0.3223     1.151E+01     9.919E-03
      0.2027     9.864E+00     1.352E-02
     80.1679     1.870E+01     6.481E-05
      0.5954     1.529E+01     7.132E-03
      0.2455     1.049E+01     1.186E-02
      0.4616     1.195E+01     7.189E-03
      0.2874     1.125E+01     1.087E-02
      7.4105     2.512E+01     9.416E-04
      0.3710     1.233E+01     9.233E-03
      0.3497     1.142E+01     9.074E-03
     41.7559     2.406E+01     1.601E-04
      0.4024     1.242E+01     8.572E-03
      0.6091     1.129E+01     5.151E-03
      0.3818     1.275E+01     9.279E-03
      0.2576     1.005E+01     1.084E-02
      0.3026     1.009E+01     9.263E-03
      0.8507     1.569E+01     5.123E-03
      0.2709     1.093E+01     1.121E-02
      0.6660     1.135E+01     4.732E-03
      0.3272     1.040E+01     8.830E-03
      0.5570     1.319E+01     6.577E-03
      0.3257     1.043E+01     8.897E-03
      0.2628     1.080E+01     1.142E-02
      0.5831     1.427E+01     6.799E-03
      0.3080     1.114E+01     1.004E-02
      0.2729     9.905E+00     1.008E-02
      0.3554     1.206E+01     9.427E-03
      0.2664     1.058E+01     1.103E-02
      1.3358     1.096E+01     2.279E-03
      0.3755     1.106E+01     8.179E-03
     11.9013     2.488E+01     5.807E-04
      1.3025     1.733E+01     3.695E-03
      0.5818     1.162E+01     5.547E-03
      0.3827     1.255E+01     9.109E-03
      0.3148     1.008E+01     8.893E-03
      0.3276     1.056E+01     8.950E-03
      2.8476     1.360E+01     1.327E-03
      0.3102     1.165E+01     1.043E-02
      0.6920     1.547E+01     6.210E-03
      0.2859     1.032E+01     1.003E-02
      1.0413     1.547E+01     4.126E-03
      0.3132     1.154E+01     1.024E-02
      4.4910     1.695E+01     1.048E-03
      1.3839     1.125E+01     2.259E-03
      0.2337     1.021E+01     1.214E-02
      3.9145     1.355E+01     9.613E-04
      0.3168     1.102E+01     9.666E-03
      0.2328     9.895E+00     1.181E-02
      0.4769     1.209E+01     7.042E-03
      0.3320     1.153E+01     9.649E-03
      0.4128     1.276E+01     8.587E-03
     36.7907     1.811E+01     1.368E-04
      1.0682     1.623E+01     4.221E-03
      0.2956     1.034E+01     9.715E-03
      0.7163     1.251E+01     4.853E-03
      0.4167     1.212E+01     8.080E-03
      0.7763     1.142E+01     4.086E-03
      4.7229     2.313E+01     1.360E-03
      0.5707     1.430E+01     6.961E-03
      0.3001     1.105E+01     1.023E-02
      1.3369     1.460E+01     3.033E-03
      0.4217     1.023E+01     6.738E-03
      0.2849     1.084E+01     1.057E-02
      0.3042     1.120E+01     1.023E-02
      0.2328     9.751E+00     1.164E-02
      0.2902     1.045E+01     1.000E-02
