 cum_prob         time          distance       velocity
 1.396E-04      2493.9158       166.1342       1.863E+02
 1.005E-02       896.1517        97.3986       8.267E+01
 1.997E-02       501.7973        86.5364       5.628E+01
 2.988E-02       283.9550        80.7712       5.077E+01
 3.980E-02       169.4902        74.9979       4.667E+01
 4.971E-02       123.7308        69.4448       4.325E+01
 5.963E-02        95.2184        66.5412       4.073E+01
 6.954E-02        76.9725        63.7238       3.818E+01
 7.946E-02        62.8555        61.8652       3.626E+01
 8.937E-02        49.4083        59.9108       3.472E+01
 9.929E-02        41.1248        57.0076       3.324E+01
 1.092E-01        34.1917        54.5047       3.175E+01
 1.191E-01        29.6465        52.2316       3.049E+01
 1.290E-01        26.3655        50.3978       2.940E+01
 1.389E-01        23.3310        48.4068       2.828E+01
 1.489E-01        20.6306        46.7182       2.717E+01
 1.588E-01        18.3386        45.4989       2.622E+01
 1.687E-01        16.3929        44.3056       2.548E+01
 1.786E-01        14.6299        42.9183       2.478E+01
 1.885E-01        13.2995        41.4156       2.409E+01
 1.984E-01        12.1958        40.0471       2.352E+01
 2.084E-01        11.1146        38.8366       2.287E+01
 2.183E-01        10.1182        37.7818       2.219E+01
 2.282E-01         9.3000        36.8262       2.157E+01
 2.381E-01         8.4980        36.0619       2.104E+01
 2.480E-01         7.9624        35.3557       2.037E+01
 2.579E-01         7.4153        34.7068       1.990E+01
 2.678E-01         6.9810        33.9884       1.943E+01
 2.778E-01         6.6200        33.2406       1.905E+01
 2.877E-01         6.3058        32.5349       1.859E+01
 2.976E-01         5.9616        31.9356       1.812E+01
 3.075E-01         5.6566        31.3049       1.765E+01
 3.174E-01         5.3284        30.8776       1.719E+01
 3.273E-01         5.0587        30.4010       1.680E+01
 3.372E-01         4.8326        29.8589       1.626E+01
 3.472E-01         4.5643        29.3355       1.584E+01
 3.571E-01         4.3111        28.8296       1.542E+01
 3.670E-01         4.0651        28.4840       1.499E+01
 3.769E-01         3.8334        28.1193       1.459E+01
 3.868E-01         3.6475        27.6931       1.426E+01
 3.967E-01         3.5054        27.3662       1.389E+01
 4.066E-01         3.3549        26.9707       1.348E+01
 4.166E-01         3.2154        26.5899       1.314E+01
 4.265E-01         3.0711        26.2529       1.289E+01
 4.364E-01         2.9643        25.9577       1.266E+01
 4.463E-01         2.8297        25.6525       1.227E+01
 4.562E-01         2.7308        25.3655       1.206E+01
 4.661E-01         2.6293        25.1057       1.182E+01
 4.761E-01         2.5521        24.8771       1.154E+01
 4.860E-01         2.4653        24.6385       1.128E+01
 4.959E-01         2.3826        24.3471       1.110E+01
 5.058E-01         2.3071        24.1650       1.083E+01
 5.157E-01         2.2317        23.9397       1.060E+01
 5.256E-01         2.1693        23.7118       1.034E+01
 5.355E-01         2.1050        23.4473       1.002E+01
 5.455E-01         2.0468        23.1939       9.709E+00
 5.554E-01         1.9708        22.9624       9.427E+00
 5.653E-01         1.9011        22.7314       9.192E+00
 5.752E-01         1.8422        22.5063       8.903E+00
 5.851E-01         1.7880        22.2706       8.561E+00
 5.950E-01         1.7325        22.0254       8.277E+00
 6.049E-01         1.6733        21.7700       7.994E+00
 6.149E-01         1.6016        21.5637       7.684E+00
 6.248E-01         1.5544        21.3077       7.395E+00
 6.347E-01         1.4929        21.1133       7.153E+00
 6.446E-01         1.4294        20.9106       6.856E+00
 6.545E-01         1.3817        20.7196       6.567E+00
 6.644E-01         1.3291        20.5188       6.310E+00
 6.743E-01         1.2858        20.3574       6.117E+00
 6.843E-01         1.2458        20.2141       5.894E+00
 6.942E-01         1.1941        20.0717       5.693E+00
 7.041E-01         1.1590        19.9254       5.507E+00
 7.140E-01         1.1090        19.7737       5.315E+00
 7.239E-01         1.0739        19.5964       5.110E+00
 7.338E-01         1.0333        19.4575       4.941E+00
 7.438E-01         1.0077        19.3283       4.728E+00
 7.537E-01         0.9684        19.1827       4.506E+00
 7.636E-01         0.9356        19.0320       4.270E+00
 7.735E-01         0.9004        18.9042       4.060E+00
 7.834E-01         0.8713        18.7596       3.839E+00
 7.933E-01         0.8509        18.6320       3.632E+00
 8.032E-01         0.8208        18.4749       3.407E+00
 8.132E-01         0.7907        18.3392       3.215E+00
 8.231E-01         0.7644        18.2253       2.910E+00
 8.330E-01         0.7335        18.0789       2.622E+00
 8.429E-01         0.7119        17.9273       2.428E+00
 8.528E-01         0.6907        17.7788       2.192E+00
 8.627E-01         0.6715        17.6459       1.890E+00
 8.726E-01         0.6494        17.4893       1.692E+00
 8.826E-01         0.6195        17.3633       1.473E+00
 8.925E-01         0.5926        17.2260       1.253E+00
 9.024E-01         0.5647        17.0902       1.068E+00
 9.123E-01         0.5339        16.9437       9.402E-01
 9.222E-01         0.5001        16.7855       8.101E-01
 9.321E-01         0.4715        16.6093       6.617E-01
 9.420E-01         0.4414        16.4375       5.072E-01
 9.520E-01         0.4092        16.2268       3.703E-01
 9.619E-01         0.3638        16.0507       2.376E-01
 9.718E-01         0.3305        15.8130       1.717E-01
 9.817E-01         0.2934        15.5677       1.098E-01
 9.916E-01         0.2436        15.1654       5.493E-02
