      time        distance     velocity
      7.2291     4.107E+01     1.578E-03
     45.6051     6.353E+01     3.870E-04
     19.7911     3.435E+01     4.821E-04
      5.8401     3.416E+01     1.625E-03
    186.5439     5.976E+01     8.899E-05
     42.4642     6.485E+01     4.242E-04
     12.1312     3.842E+01     8.797E-04
     13.0573     3.748E+01     7.973E-04
     18.9054     4.254E+01     6.250E-04
     18.5968     3.970E+01     5.930E-04
     14.0222     3.901E+01     7.728E-04
     18.3706     3.363E+01     5.085E-04
    446.3319     5.938E+01     3.695E-05
      2.9737     3.250E+01     3.036E-03
     23.9595     3.890E+01     4.510E-04
      5.4088     3.553E+01     1.825E-03
      3.2549     2.986E+01     2.548E-03
      3.6220     3.185E+01     2.442E-03
     10.7666     4.852E+01     1.252E-03
     19.8154     5.372E+01     7.531E-04
      3.4999     3.083E+01     2.447E-03
    339.7944     5.587E+01     4.567E-05
     41.3915     6.416E+01     4.306E-04
      3.5697     3.221E+01     2.506E-03
      3.9112     3.601E+01     2.558E-03
    247.6788     6.222E+01     6.978E-05
     22.0696     3.867E+01     4.867E-04
      3.1054     3.281E+01     2.935E-03
     20.2073     5.394E+01     7.415E-04
     20.5779     4.271E+01     5.766E-04
     13.0061     4.016E+01     8.577E-04
     10.0523     4.721E+01     1.304E-03
     19.5710     4.293E+01     6.093E-04
    816.8070     7.197E+01     2.448E-05
      5.9188     3.664E+01     1.720E-03
      3.0849     3.317E+01     2.987E-03
    612.1226     6.901E+01     3.132E-05
     10.4450     4.545E+01     1.209E-03
     16.8806     3.948E+01     6.497E-04
     15.5004     3.346E+01     5.996E-04
     16.8974     3.909E+01     6.426E-04
      5.7251     3.803E+01     1.845E-03
     29.1944     3.540E+01     3.368E-04
      7.5736     4.167E+01     1.528E-03
      4.1314     3.533E+01     2.376E-03
      5.7862     3.626E+01     1.741E-03
   1815.7140     6.477E+01     9.909E-06
      6.0594     3.584E+01     1.643E-03
      5.5862     3.295E+01     1.638E-03
    591.9478     6.328E+01     2.969E-05
     25.3998     4.220E+01     4.616E-04
     17.9667     5.274E+01     8.154E-04
      3.6899     3.512E+01     2.644E-03
      6.4811     3.630E+01     1.556E-03
      3.8136     3.088E+01     2.249E-03
     36.8020     6.078E+01     4.588E-04
      5.7741     3.703E+01     1.781E-03
     10.6887     4.558E+01     1.185E-03
     13.8088     3.704E+01     7.450E-04
     42.5830     4.956E+01     3.233E-04
      8.2767     4.317E+01     1.449E-03
      8.0597     4.279E+01     1.475E-03
    399.5728     6.768E+01     4.705E-05
      3.3923     3.458E+01     2.831E-03
      7.4587     3.826E+01     1.425E-03
    833.6874     6.900E+01     2.299E-05
     10.4399     4.452E+01     1.185E-03
      7.0028     3.350E+01     1.329E-03
      3.1849     3.123E+01     2.723E-03
      3.1748     3.103E+01     2.715E-03
      4.7159     3.509E+01     2.067E-03
      9.8081     4.368E+01     1.237E-03
      4.9104     3.724E+01     2.107E-03
      7.1534     3.562E+01     1.383E-03
      8.0192     3.890E+01     1.347E-03
      4.6366     3.197E+01     1.915E-03
     18.3706     3.363E+01     5.085E-04
     10.4017     4.424E+01     1.181E-03
      7.6666     3.715E+01     1.346E-03
     19.9609     3.833E+01     5.334E-04
      3.3617     3.076E+01     2.542E-03
      5.0708     3.671E+01     2.011E-03
      5.7288     3.420E+01     1.658E-03
     16.2824     4.089E+01     6.976E-04
      3.6300     3.154E+01     2.414E-03
     22.0561     3.857E+01     4.858E-04
      5.3833     3.525E+01     1.819E-03
      3.8314     3.484E+01     2.526E-03
      6.3843     3.750E+01     1.632E-03
      3.1267     3.311E+01     2.942E-03
      9.2349     4.386E+01     1.319E-03
      6.0478     3.783E+01     1.738E-03
     26.7949     5.395E+01     5.593E-04
      3.2830     3.039E+01     2.572E-03
     14.2565     3.543E+01     6.904E-04
     22.6648     4.699E+01     5.759E-04
      3.9780     3.216E+01     2.246E-03
      8.1298     4.017E+01     1.373E-03
      4.6561     3.134E+01     1.870E-03
      3.3386     3.071E+01     2.555E-03
     15.8417     3.959E+01     6.941E-04
      4.7321     3.666E+01     2.152E-03
     84.8516     3.854E+01     1.262E-04
      2.6046     3.077E+01     3.281E-03
     45.3691     5.244E+01     3.211E-04
     23.9185     4.783E+01     5.555E-04
     77.3544     1.062E+02     3.813E-04
     36.2240     6.577E+01     5.043E-04
     48.1713     7.893E+01     4.551E-04
     72.9068     1.036E+02     3.949E-04
     56.4705     9.845E+01     4.843E-04
    187.2577     9.685E+01     1.437E-04
     41.5111     4.981E+01     3.333E-04
     52.4619     8.099E+01     4.288E-04
     49.9592     7.605E+01     4.229E-04
     59.9036     9.277E+01     4.302E-04
     28.3605     6.700E+01     6.562E-04
     50.0123     8.601E+01     4.777E-04
     25.3264     7.529E+01     8.258E-04
    468.8192     5.350E+01     3.170E-05
     99.9991     1.077E+02     2.992E-04
     97.4047     8.629E+01     2.461E-04
     17.1244     6.575E+01     1.067E-03
    177.9838     1.075E+02     1.678E-04
     62.8375     9.966E+01     4.405E-04
     47.8200     8.128E+01     4.722E-04
    120.0482     6.902E+01     1.597E-04
     72.3505     7.913E+01     3.038E-04
     27.6626     6.476E+01     6.503E-04
     84.3930     7.401E+01     2.436E-04
     84.3524     1.032E+02     3.399E-04
     40.2925     7.663E+01     5.283E-04
     12.9945     5.756E+01     1.230E-03
     22.9296     6.022E+01     7.296E-04
    187.1328     1.281E+02     1.901E-04
     35.6197     7.860E+01     6.130E-04
     11.7480     5.658E+01     1.338E-03
     23.0838     6.859E+01     8.254E-04
     16.7716     6.440E+01     1.067E-03
     19.9327     7.573E+01     1.055E-03
     68.1732     7.500E+01     3.056E-04
     54.7633     1.028E+02     5.213E-04
     16.7682     5.312E+01     8.800E-04
      9.7028     5.226E+01     1.496E-03
    181.7792     7.566E+01     1.156E-04
    106.3560     1.051E+02     2.744E-04
     27.1001     6.127E+01     6.280E-04
     67.8112     9.083E+01     3.721E-04
     96.6366     7.451E+01     2.142E-04
     27.8218     6.945E+01     6.934E-04
     21.1437     6.961E+01     9.144E-04
     28.2801     7.328E+01     7.197E-04
    600.8509     6.019E+01     2.782E-05
      3.9011     3.249E+01     2.313E-03
      5.6607     3.722E+01     1.826E-03
      2.9591     3.188E+01     2.993E-03
    301.1981     6.452E+01     5.950E-05
    791.9236     6.089E+01     2.136E-05
     10.7532     5.839E+01     1.508E-03
      4.2693     3.375E+01     2.196E-03
   2197.9734     6.700E+01     8.467E-06
    738.1626     6.577E+01     2.475E-05
    260.1508     6.103E+01     6.516E-05
      5.2048     3.679E+01     1.963E-03
      4.7533     3.628E+01     2.120E-03
      3.0406     3.285E+01     3.001E-03
      3.9748     3.214E+01     2.246E-03
      3.9617     3.462E+01     2.427E-03
      3.9279     3.467E+01     2.452E-03
   1118.0913     6.262E+01     1.556E-05
      9.2322     3.997E+01     1.203E-03
      4.5066     3.495E+01     2.154E-03
    129.2842     5.388E+01     1.158E-04
     10.2763     4.207E+01     1.137E-03
      4.7529     3.625E+01     2.119E-03
      3.1063     3.292E+01     2.944E-03
      7.8675     4.341E+01     1.533E-03
    231.2986     5.965E+01     7.164E-05
     11.1108     4.917E+01     1.229E-03
     11.9494     4.128E+01     9.596E-04
      8.2224     3.301E+01     1.115E-03
      4.8400     3.708E+01     2.128E-03
      5.5716     3.337E+01     1.664E-03
     12.0046     4.540E+01     1.051E-03
    491.2187     6.087E+01     3.442E-05
     10.5624     4.459E+01     1.173E-03
     28.0536     5.843E+01     5.786E-04
      3.4171     3.109E+01     2.527E-03
      3.4734     3.461E+01     2.768E-03
    255.6908     6.001E+01     6.520E-05
      3.8049     3.551E+01     2.592E-03
     10.1610     3.964E+01     1.084E-03
      4.7432     3.699E+01     2.166E-03
      7.6424     4.910E+01     1.785E-03
      4.9886     3.880E+01     2.161E-03
     14.1503     6.231E+01     1.223E-03
     23.6543     7.096E+01     8.333E-04
      8.9956     3.708E+01     1.145E-03
      5.1891     4.096E+01     2.193E-03
      7.5549     3.748E+01     1.378E-03
    199.8146     3.921E+01     5.451E-05
      3.3423     3.042E+01     2.528E-03
      6.3833     3.938E+01     1.714E-03
      4.1362     3.669E+01     2.464E-03
     13.5810     5.663E+01     1.158E-03
      5.6575     3.509E+01     1.723E-03
      6.8141     3.662E+01     1.493E-03
     16.1469     4.303E+01     7.402E-04
     10.2655     4.297E+01     1.163E-03
      3.8734     3.527E+01     2.529E-03
      6.7222     3.788E+01     1.565E-03
      4.8688     3.672E+01     2.095E-03
      3.5697     3.221E+01     2.506E-03
     17.7689     4.436E+01     6.934E-04
      3.3082     3.421E+01     2.872E-03
      4.2937     3.084E+01     1.995E-03
      3.4499     3.340E+01     2.689E-03
     36.6789     6.616E+01     5.010E-04
      4.9459     3.817E+01     2.144E-03
      3.2781     3.409E+01     2.889E-03
      8.9119     3.937E+01     1.227E-03
      3.4917     3.105E+01     2.470E-03
      5.1136     3.846E+01     2.089E-03
      3.1377     3.017E+01     2.671E-03
     10.7194     4.400E+01     1.140E-03
      5.1740     3.816E+01     2.049E-03
      5.4958     3.631E+01     1.835E-03
      4.9877     3.503E+01     1.951E-03
      3.3768     3.075E+01     2.529E-03
      4.4810     3.168E+01     1.964E-03
    437.8000     6.063E+01     3.847E-05
    687.7017     6.397E+01     2.584E-05
     10.7267     5.442E+01     1.409E-03
     17.3724     5.045E+01     8.066E-04
     13.9682     4.699E+01     9.345E-04
      5.0755     3.775E+01     2.066E-03
      4.6826     3.126E+01     1.854E-03
      6.7983     3.810E+01     1.557E-03
      6.8636     3.838E+01     1.553E-03
    187.5211     6.301E+01     9.334E-05
    816.8070     7.197E+01     2.448E-05
      7.5301     3.865E+01     1.426E-03
      6.0498     3.535E+01     1.623E-03
      5.1389     3.802E+01     2.055E-03
     19.4804     4.495E+01     6.410E-04
      4.4483     3.505E+01     2.189E-03
      6.9938     3.885E+01     1.543E-03
     12.2766     4.192E+01     9.485E-04
     55.2264     8.342E+01     4.196E-04
      8.8747     3.822E+01     1.196E-03
      5.8092     3.763E+01     1.799E-03
      4.7526     3.623E+01     2.118E-03
     23.6094     7.262E+01     8.544E-04
    354.9129     1.096E+02     8.575E-05
     56.5126     8.691E+01     4.272E-04
     36.6426     8.142E+01     6.172E-04
     10.5816     4.106E+01     1.078E-03
     30.8222     6.725E+01     6.061E-04
     71.1370     8.251E+01     3.222E-04
      4.4723     3.478E+01     2.160E-03
      6.5794     4.113E+01     1.736E-03
      5.2690     3.653E+01     1.926E-03
     21.8766     7.023E+01     8.918E-04
     98.4547     1.059E+02     2.987E-04
     56.1286     8.504E+01     4.208E-04
     26.9611     7.357E+01     7.580E-04
    184.9542     1.084E+02     1.627E-04
