 cum_prob         time          distance       velocity
 5.529E-05      2493.8477       202.5517       7.966E+01
 1.001E-02      1317.6359       108.2645       3.479E+01
 1.996E-02       749.6462        98.2612       2.678E+01
 2.991E-02       473.3066        92.4734       2.362E+01
 3.987E-02       296.2561        88.8510       2.166E+01
 4.982E-02       210.8462        86.3855       2.006E+01
 5.977E-02       155.5327        84.0459       1.880E+01
 6.973E-02       124.2943        82.2529       1.771E+01
 7.968E-02       105.8736        80.6884       1.663E+01
 8.963E-02        88.9044        79.3766       1.572E+01
 9.959E-02        76.9761        78.0205       1.502E+01
 1.095E-01        68.9579        76.5674       1.440E+01
 1.195E-01        62.2618        75.0973       1.388E+01
 1.294E-01        56.7590        73.6280       1.345E+01
 1.394E-01        52.2111        72.2164       1.306E+01
 1.494E-01        47.5598        70.9617       1.271E+01
 1.593E-01        43.7798        69.6091       1.232E+01
 1.693E-01        39.9294        68.2396       1.201E+01
 1.792E-01        36.9246        67.1103       1.164E+01
 1.892E-01        34.3097        65.8034       1.135E+01
 1.991E-01        32.2845        64.6379       1.106E+01
 2.091E-01        30.3767        63.3754       1.081E+01
 2.190E-01        28.7551        62.2312       1.054E+01
 2.290E-01        27.3084        61.0453       1.031E+01
 2.389E-01        25.9444        59.8686       1.010E+01
 2.489E-01        24.6383        58.8422       9.886E+00
 2.588E-01        23.2448        57.6765       9.669E+00
 2.688E-01        21.9746        56.5306       9.452E+00
 2.787E-01        20.8665        55.5719       9.270E+00
 2.887E-01        19.7794        54.5422       9.083E+00
 2.986E-01        18.7093        53.7044       8.842E+00
 3.086E-01        17.7405        52.9507       8.659E+00
 3.186E-01        16.8171        52.1486       8.429E+00
 3.285E-01        16.0552        51.4397       8.249E+00
 3.385E-01        15.3759        50.7453       8.029E+00
 3.484E-01        14.7067        50.0610       7.851E+00
 3.584E-01        14.0481        49.3995       7.684E+00
 3.683E-01        13.4443        48.7795       7.509E+00
 3.783E-01        12.8776        48.1908       7.341E+00
 3.882E-01        12.3463        47.5593       7.159E+00
 3.982E-01        11.8614        46.9540       7.000E+00
 4.081E-01        11.3505        46.4205       6.842E+00
 4.181E-01        10.8393        45.8317       6.686E+00
 4.280E-01        10.4651        45.3528       6.517E+00
 4.380E-01        10.0788        44.8433       6.364E+00
 4.479E-01         9.6720        44.3076       6.212E+00
 4.579E-01         9.3286        43.7804       6.060E+00
 4.678E-01         8.9991        43.3168       5.930E+00
 4.778E-01         8.5753        42.8329       5.784E+00
 4.878E-01         8.2161        42.3793       5.647E+00
 4.977E-01         7.9057        41.8326       5.515E+00
 5.077E-01         7.6323        41.3798       5.375E+00
 5.176E-01         7.3458        40.9796       5.219E+00
 5.276E-01         7.0906        40.6168       5.065E+00
 5.375E-01         6.8740        40.2342       4.915E+00
 5.475E-01         6.6367        39.8070       4.759E+00
 5.574E-01         6.4395        39.4648       4.631E+00
 5.674E-01         6.2643        39.0844       4.508E+00
 5.773E-01         6.0878        38.7709       4.398E+00
 5.873E-01         5.8885        38.4148       4.267E+00
 5.972E-01         5.7026        38.0151       4.136E+00
 6.072E-01         5.5389        37.7016       4.017E+00
 6.171E-01         5.3636        37.3675       3.910E+00
 6.271E-01         5.2276        37.0482       3.786E+00
 6.370E-01         5.0584        36.7274       3.645E+00
 6.470E-01         4.9233        36.4146       3.508E+00
 6.570E-01         4.7911        36.1236       3.385E+00
 6.669E-01         4.6313        35.8128       3.267E+00
 6.769E-01         4.4870        35.5192       3.163E+00
 6.868E-01         4.3652        35.1859       3.059E+00
 6.968E-01         4.2498        34.8653       2.947E+00
 7.067E-01         4.1038        34.5915       2.860E+00
 7.167E-01         3.9666        34.3269       2.767E+00
 7.266E-01         3.8487        34.0152       2.667E+00
 7.366E-01         3.7489        33.7643       2.564E+00
 7.465E-01         3.6379        33.5033       2.446E+00
 7.565E-01         3.5222        33.2084       2.332E+00
 7.664E-01         3.3938        32.9476       2.229E+00
 7.764E-01         3.2956        32.7092       2.112E+00
 7.863E-01         3.1926        32.4454       1.999E+00
 7.963E-01         3.0984        32.1961       1.893E+00
 8.062E-01         3.0056        31.9398       1.783E+00
 8.162E-01         2.9165        31.7319       1.674E+00
 8.262E-01         2.8244        31.4946       1.580E+00
 8.361E-01         2.7347        31.2535       1.478E+00
 8.461E-01         2.6514        30.9938       1.386E+00
 8.560E-01         2.5789        30.7612       1.302E+00
 8.660E-01         2.4917        30.5058       1.206E+00
 8.759E-01         2.3989        30.2783       1.103E+00
 8.859E-01         2.3088        29.9735       1.003E+00
 8.958E-01         2.2141        29.6781       8.963E-01
 9.058E-01         2.1153        29.4214       7.883E-01
 9.157E-01         2.0214        29.1060       6.896E-01
 9.257E-01         1.9277        28.8053       5.812E-01
 9.356E-01         1.8321        28.4993       4.733E-01
 9.456E-01         1.7328        28.1992       3.539E-01
 9.555E-01         1.5912        27.8195       2.561E-01
 9.655E-01         1.4302        27.3630       1.882E-01
 9.754E-01         1.2819        26.9225       1.212E-01
 9.854E-01         1.0947        26.3426       6.573E-02
 9.954E-01         0.7635        25.4543       3.741E-02
