      time        distance     velocity
      9.5320     3.922E+01     1.143E-03
     53.6095     7.642E+01     3.960E-04
     56.8165     7.118E+01     3.480E-04
     75.1989     4.656E+01     1.720E-04
     78.7986     5.230E+01     1.844E-04
      7.4714     4.346E+01     1.616E-03
     55.0313     7.335E+01     3.702E-04
     10.1050     4.478E+01     1.231E-03
     81.0775     5.674E+01     1.944E-04
      6.7879     3.798E+01     1.554E-03
     50.7820     6.789E+01     3.714E-04
      4.9352     4.066E+01     2.289E-03
    116.0513     7.283E+01     1.743E-04
     14.8680     5.426E+01     1.014E-03
     35.9677     6.378E+01     4.926E-04
    116.6738     7.305E+01     1.739E-04
     86.1478     7.921E+01     2.554E-04
    151.4042     8.122E+01     1.490E-04
    214.7501     7.952E+01     1.029E-04
    548.1722     5.058E+01     2.563E-05
      8.2691     4.003E+01     1.345E-03
    100.2844     4.708E+01     1.304E-04
     23.3301     5.058E+01     6.022E-04
     75.8352     7.373E+01     2.701E-04
     14.7797     4.946E+01     9.295E-04
    173.8161     7.834E+01     1.252E-04
     65.1735     4.277E+01     1.823E-04
     16.4247     5.164E+01     8.733E-04
   2389.6965     5.190E+01     6.033E-06
     12.4788     5.404E+01     1.203E-03
      8.0520     3.868E+01     1.334E-03
     46.3987     6.743E+01     4.037E-04
     27.2585     5.782E+01     5.892E-04
    116.0513     7.283E+01     1.743E-04
      6.5367     3.848E+01     1.635E-03
    100.2844     4.708E+01     1.304E-04
     56.6643     7.085E+01     3.473E-04
     78.1218     4.334E+01     1.541E-04
     18.2476     4.438E+01     6.755E-04
     19.9675     5.474E+01     7.615E-04
     10.7037     4.854E+01     1.260E-03
   2070.7036     7.940E+01     1.065E-05
      5.0180     3.771E+01     2.088E-03
      9.1345     4.281E+01     1.302E-03
      4.6567     3.712E+01     2.214E-03
    603.3858     5.040E+01     2.320E-05
     10.5151     4.192E+01     1.107E-03
      4.6042     3.504E+01     2.114E-03
      4.6963     3.688E+01     2.181E-03
     74.8678     4.493E+01     1.667E-04
      5.0442     3.756E+01     2.068E-03
      8.2684     4.012E+01     1.348E-03
     50.7820     6.789E+01     3.714E-04
      7.4879     3.794E+01     1.408E-03
      7.5404     3.919E+01     1.444E-03
    114.2994     7.288E+01     1.771E-04
     65.1735     4.277E+01     1.823E-04
     12.2528     4.387E+01     9.946E-04
     29.6220     6.772E+01     6.351E-04
    396.5870     4.959E+01     3.474E-05
      9.4709     4.259E+01     1.249E-03
     16.9667     5.038E+01     8.249E-04
     12.5721     4.715E+01     1.042E-03
     26.8312     5.676E+01     5.876E-04
      5.0946     3.612E+01     1.969E-03
      8.4309     4.450E+01     1.466E-03
      4.3608     3.911E+01     2.491E-03
      8.8041     4.625E+01     1.459E-03
      4.8534     3.738E+01     2.139E-03
     14.9259     5.598E+01     1.042E-03
   1758.0327     4.799E+01     7.583E-06
    693.5920     5.088E+01     2.038E-05
     62.0668     6.904E+01     3.090E-04
     46.3987     6.743E+01     4.037E-04
     34.7175     5.343E+01     4.275E-04
      8.6141     3.993E+01     1.287E-03
      8.5427     4.828E+01     1.570E-03
     54.2406     6.826E+01     3.496E-04
     32.8894     6.375E+01     5.384E-04
