 cum_prob         time          distance       velocity
 4.692E-05      2497.2537       187.5254       2.431E+01
 1.004E-02      1237.0835       141.0787       1.475E+01
 2.003E-02       834.5699       132.7079       1.239E+01
 3.003E-02       613.1689       128.1410       1.091E+01
 4.002E-02       494.9906       124.2796       9.788E+00
 5.001E-02       411.1800       121.3298       8.990E+00
 6.001E-02       353.1018       118.5363       8.338E+00
 7.000E-02       312.5451       116.2425       7.804E+00
 7.999E-02       277.4590       114.1624       7.346E+00
 8.999E-02       250.0359       112.1489       7.028E+00
 9.998E-02       228.5739       110.3664       6.721E+00
 1.100E-01       207.8976       108.7404       6.467E+00
 1.200E-01       191.0132       107.1807       6.219E+00
 1.300E-01       177.5807       105.5872       5.976E+00
 1.400E-01       165.5255       104.0029       5.792E+00
 1.499E-01       153.0410       102.5656       5.592E+00
 1.599E-01       142.0507       101.0597       5.401E+00
 1.699E-01       133.9071        99.5576       5.217E+00
 1.799E-01       126.2271        98.0298       5.057E+00
 1.899E-01       118.5879        96.5655       4.919E+00
 1.999E-01       110.9632        95.2380       4.787E+00
 2.099E-01       104.9506        93.7702       4.660E+00
 2.199E-01        99.3221        92.4873       4.540E+00
 2.299E-01        94.2826        91.3679       4.431E+00
 2.399E-01        89.9684        90.2462       4.316E+00
 2.499E-01        85.2137        89.1356       4.215E+00
 2.599E-01        80.7908        88.1207       4.111E+00
 2.699E-01        77.1137        87.2227       4.014E+00
 2.799E-01        73.7736        86.2587       3.912E+00
 2.899E-01        70.3204        85.4084       3.812E+00
 2.998E-01        67.1570        84.5557       3.716E+00
 3.098E-01        63.9910        83.6365       3.615E+00
 3.198E-01        61.2921        82.7939       3.529E+00
 3.298E-01        58.5112        82.0418       3.436E+00
 3.398E-01        56.0984        81.3013       3.345E+00
 3.498E-01        53.7147        80.6458       3.256E+00
 3.598E-01        51.6780        79.8630       3.175E+00
 3.698E-01        49.6560        79.1549       3.100E+00
 3.798E-01        47.7339        78.4406       3.021E+00
 3.898E-01        46.0076        77.7558       2.947E+00
 3.998E-01        44.3849        77.0886       2.883E+00
 4.098E-01        42.7430        76.4724       2.822E+00
 4.198E-01        40.9818        75.8269       2.768E+00
 4.298E-01        39.5156        75.1525       2.705E+00
 4.398E-01        38.0844        74.4326       2.652E+00
 4.498E-01        36.5849        73.8488       2.590E+00
 4.597E-01        35.3359        73.1563       2.524E+00
 4.697E-01        34.1604        72.6469       2.459E+00
 4.797E-01        33.0924        72.0265       2.409E+00
 4.897E-01        32.0036        71.4753       2.344E+00
 4.997E-01        30.9603        70.8595       2.282E+00
 5.097E-01        30.0033        70.2813       2.230E+00
 5.197E-01        29.1489        69.6325       2.176E+00
 5.297E-01        28.1656        69.0937       2.122E+00
 5.397E-01        27.3391        68.5482       2.070E+00
 5.497E-01        26.4659        67.9812       2.016E+00
 5.597E-01        25.6683        67.4509       1.966E+00
 5.697E-01        24.9133        66.9270       1.908E+00
 5.797E-01        24.1122        66.3487       1.858E+00
 5.897E-01        23.3868        65.8411       1.811E+00
 5.997E-01        22.6181        65.3341       1.755E+00
 6.096E-01        22.0014        64.7817       1.702E+00
 6.196E-01        21.3531        64.2649       1.647E+00
 6.296E-01        20.6568        63.7740       1.596E+00
 6.396E-01        20.0809        63.2767       1.540E+00
 6.496E-01        19.4462        62.7699       1.489E+00
 6.596E-01        18.8262        62.2862       1.448E+00
 6.696E-01        18.2064        61.8017       1.397E+00
 6.796E-01        17.6058        61.3402       1.345E+00
 6.896E-01        17.1213        60.9162       1.297E+00
 6.996E-01        16.5936        60.4436       1.252E+00
 7.096E-01        16.1062        59.9974       1.204E+00
 7.196E-01        15.5460        59.4990       1.162E+00
 7.296E-01        15.1007        59.0107       1.123E+00
 7.396E-01        14.6257        58.4918       1.082E+00
 7.496E-01        14.1407        57.9806       1.044E+00
 7.595E-01        13.7298        57.5006       1.010E+00
 7.695E-01        13.2840        57.0026       9.726E-01
 7.795E-01        12.8630        56.5212       9.324E-01
 7.895E-01        12.4629        56.0369       8.894E-01
 7.995E-01        12.0575        55.5269       8.491E-01
 8.095E-01        11.6382        54.9961       8.091E-01
 8.195E-01        11.2315        54.5079       7.640E-01
 8.295E-01        10.8486        53.9857       7.212E-01
 8.395E-01        10.4543        53.4871       6.841E-01
 8.495E-01        10.0193        52.9759       6.461E-01
 8.595E-01         9.5661        52.4690       6.075E-01
 8.695E-01         9.0723        51.9011       5.733E-01
 8.795E-01         8.6930        51.2742       5.290E-01
 8.895E-01         8.2488        50.7524       4.946E-01
 8.995E-01         7.8438        50.1066       4.576E-01
 9.094E-01         7.4451        49.5081       4.228E-01
 9.194E-01         7.0600        48.9134       3.823E-01
 9.294E-01         6.6706        48.2542       3.451E-01
 9.394E-01         6.2967        47.5108       3.032E-01
 9.494E-01         5.9736        46.7461       2.588E-01
 9.594E-01         5.5359        46.0245       2.144E-01
 9.694E-01         5.0521        45.2581       1.705E-01
 9.794E-01         4.5169        44.2985       1.283E-01
 9.894E-01         3.7290        43.0607       8.448E-02
 9.994E-01         2.4108        40.2595       3.289E-02
